leaf_parent,pctOfApps.x,company,pctOfApps.y,country
Alphabet,0.8466836541615158,Google,0.8375255443146555,US
Alphabet,0.8466836541615158,Google Apis,0.5990614829578425,US
Alphabet,0.8466836541615158,Doubleclick,0.44317178393924866,US
Alphabet,0.8466836541615158,Google Analytics,0.32439387441027323,US
Alphabet,0.8466836541615158,Google Tag Manager,0.27320432928829125,US
Alphabet,0.8466836541615158,Adsense,0.25945455004162776,US
Alphabet,0.8466836541615158,Firebase,0.2252440901178192,US
Alphabet,0.8466836541615158,Youtube,0.13235108610641572,US
Alphabet,0.8466836541615158,Admob,0.10240431919671014,US
Alphabet,0.8466836541615158,Blogger,0.005323309029442187,US
Facebook,0.4481418876302445,Facebook,0.4481418876302445,US
Facebook,0.4481418876302445,Liverail,0.006231551328304362,US
Facebook,0.4481418876302445,Lifestreet,7.568685823851452e-5,US
Twitter,0.3799732573100891,Twitter,0.33418270807578776,US
Twitter,0.3799732573100891,Crashlytics,0.09256502762570326,US
Twitter,0.3799732573100891,Mopub,0.016777253576204052,US
Verizon,0.24926205313217448,Yahoo,0.20147841663092564,US
Verizon,0.24926205313217448,Flurry,0.05656331205691652,US
Verizon,0.24926205313217448,Tumblr,0.020536367535383605,US
Verizon,0.24926205313217448,Flickr,0.014355274112571587,US
Verizon,0.24926205313217448,Millennialmedia,0.0045916693998032145,US
Verizon,0.24926205313217448,Aol,0.0016651108812473195,US
Verizon,0.24926205313217448,Verizon,8.073264878774882e-4,US
Microsoft,0.21121679239094784,Microsoft,0.2062971466054444,US
Microsoft,0.21121679239094784,Bing,0.008199409642505739,US
Linkedin,0.19882937659257766,Linkedin,0.19882937659257766,US
Amazon,0.11925725963115272,Amazon Web Services,0.09415445164871206,US
Amazon,0.11925725963115272,Amazon,0.03138481721623736,US
Amazon,0.11925725963115272,Amazon Marketing Services,0.015969927088326563,US
Amazon,0.11925725963115272,Alexa,5.0457905492343014e-5,US
Baidu,0.02782753487902717,Baidu,0.02782753487902717,CN
Yandex,0.023765673486893558,Yandex,0.023765673486893558,RU
Yandex,0.023765673486893558,Adfox,2.5228952746171507e-5,RU
Applovin,0.022226707369377097,Applovin,0.022226707369377097,US
Inmobi,0.022201478416630924,Inmobi,0.022201478416630924,SG
Cloudflare,0.021545525645230466,Cloudflare,0.021545525645230466,US
Adobe Systems,0.021368922976007267,Adobe Systems,0.015187829553195246,US
Adobe Systems,0.021368922976007267,Adobe Marketing Cloud,0.006181093422812019,US
Chartboost,0.020132704291444863,Chartboost,0.020132704291444863,US
Tencent,0.019804727905744633,Tencent,0.019804727905744633,CN
Opera,0.019199233039836516,Adcolony,0.0189469435123748,US
Opera,0.019199233039836516,Admarvel,4.541211494310871e-4,US
Akamai,0.018139617024497314,Akamai,0.01808915911900497,US
Akamai,0.018139617024497314,Soasta,5.0457905492343014e-5,US
IAC,0.017054772056411937,Vimeo,0.014002068774125185,US
IAC,0.017054772056411937,Ask.com,0.00552514065141156,US
IAC,0.017054772056411937,Tripadvisor,1.5137371647702905e-4,US
IAC,0.017054772056411937,About.com,5.0457905492343014e-5,US
Alibaba,0.016323132426772965,Alibaba,0.009738375760022202,CN
Alibaba,0.016323132426772965,Umeng,0.008729217650175342,CN
Appsflyer,0.015818553371849533,Appsflyer,0.015818553371849533,US
Appnext,0.015011226883972046,Appnext,0.015011226883972046,UK
Foursquare,0.014859853167495017,Foursquare,0.014859853167495017,US
Amplitude,0.01357317657744027,Amplitude,0.01357317657744027,US
Mixpanel,0.011125968161061634,Mixpanel,0.011125968161061634,US
Zeta Global,0.010772762822615233,Disqus,0.010772762822615233,US
Oracle,0.010142039003960946,Oracle,0.00769483058758231,US
Oracle,0.010142039003960946,Moat,0.0022958346999016072,US
Oracle,0.010142039003960946,Addthis,1.5137371647702905e-4,US
Limelight Networks,0.009460857279814315,Limelight Networks,0.009460857279814315,US
Vk,0.009132880894114086,Vk,0.009132880894114086,RU
Pinterest,0.009031965083129399,Pinterest,0.009031965083129399,US
Apple,0.008224638595251911,Apple,0.008224638595251911,US
Unitytechnologies,0.006963190957943336,Unitytechnologies,0.006963190957943336,US
Mapbox,0.006887504099704822,Mapbox,0.006887504099704822,US
Sina,0.006786588288720135,Weibo,0.005550369604157731,CN
Sina,0.006786588288720135,Sina,0.003632969195448697,CN
Drawbridge,0.005802659131619446,Drawbridge,0.005802659131619446,US
Startapp,0.005474682745919217,Startapp,0.005474682745919217,US
Spearhead Integrated Marketing Communication ,0.005071019501980473,Smaato,0.005071019501980473,US
New Relic,0.004818729974518758,New Relic,0.004818729974518758,US
Automattic,0.004667356258041729,Wordpress,0.003380679667986982,US
Automattic,0.004667356258041729,Gravatar,0.0013623634482932614,US
Automattic,0.004667356258041729,Automattic,5.0457905492343014e-5,US
Salesforce,0.004541211494310871,Salesforce,0.004515982541564699,US
Salesforce,0.004541211494310871,Krux Digital,2.5228952746171507e-5,US
Branch,0.004515982541564699,Branch,0.004515982541564699,US
Smart Ad Server,0.004490753588818528,Smart Ad Server,0.004490753588818528,US
Revmob,0.004364608825087671,Revmob,0.004364608825087671,DE
Mobfox,0.0042889219668491565,Mobfox,0.0042889219668491565,AT
Pubnative,0.004112319297625956,Pubnative,0.004112319297625956,DE
Appodeal,0.004011403486641269,Appodeal,0.004011403486641269,US
Pushwoosh,0.004011403486641269,Pushwoosh,0.004011403486641269,US
Apteligent,0.0037086560536872116,Apteligent,0.0037086560536872116,US
Daum,0.0036077402427025255,Daum,0.0036077402427025255,KR
Adjust,0.0032797638570022957,Adjust,0.0032797638570022957,US
Localytics,0.0032797638570022957,Localytics,0.0032797638570022957,UK
Urbanairship,0.0032797638570022957,Urbanairship,0.0032797638570022957,US
Netease,0.002926558518555895,Netease,0.002926558518555895,CN
Rubicon Project,0.002901329565809723,Rubicon Project,0.002901329565809723,US
Tnkfactory,0.002649040038348008,Tnkfactory,0.002649040038348008,KR
RNTS Media,0.002598582132855665,Fyber,0.002598582132855665,US
China InterActive,0.0024724373691248076,Ren Ren,0.0024724373691248076,CN
Heyzap,0.0022958346999016072,Heyzap,0.0022958346999016072,US
Sohu,0.0022958346999016072,Sohu,0.0022958346999016072,CN
Cheetahmobile,0.002094003077932235,Cheetahmobile,0.002094003077932235,CN
Vungle,0.002094003077932235,Vungle,0.002094003077932235,US
Impact Radius,0.0020183162196937207,Forensiq,0.0020183162196937207,US
Ironsource,0.0015894240230088048,Ironsource,0.0015894240230088048,US
Igaworks,0.0013875924010394328,Igaworks,0.0013875924010394328,KR
Mozilla,0.0013623634482932614,Mozilla,0.0013623634482932614,US
Nativo,0.0012362186845624038,Nativo,0.0012362186845624038,US
comScore,0.0012109897318162324,Scorecardresearch,0.0012109897318162324,US
comScore,0.0012109897318162324,Voicefive,1.0091581098468603e-4,US
Bugsnag,0.0011605318263238893,Bugsnag,0.0011605318263238893,US
Viglink,0.0011353028735777177,Viglink,0.0011353028735777177,US
International Business Machines,0.0010343870625930318,International Business Machines,6.811817241466307e-4,US
International Business Machines,0.0010343870625930318,Weather Underground,2.2706057471554356e-4,US
International Business Machines,0.0010343870625930318,The Weather Company,1.2614476373085754e-4,US
Tune,0.0010343870625930318,Tune,0.0010343870625930318,US
Jumptap,9.587002043545173e-4,Jumptap,9.587002043545173e-4,US
Integral Ad Science,8.830133461160027e-4,Integral Ad Science,8.830133461160027e-4,US
Wikimedia Foundation,8.325554406236598e-4,Wikimedia Foundation,8.325554406236598e-4,US
Xinmeihutong,8.073264878774882e-4,Xinmeihutong,8.073264878774882e-4,CN
Braze,7.820975351313167e-4,Braze,7.820975351313167e-4,US
Pingstart,7.568685823851452e-4,Pingstart,7.568685823851452e-4,US
Quantcast,7.568685823851452e-4,Quantcast,7.568685823851452e-4,US
Mcro,6.559527714004591e-4,Mcro,6.559527714004591e-4,US
Youku Tudou,6.307238186542876e-4,Youku Tudou,6.307238186542876e-4,CN
Sogou,6.054948659081162e-4,Sogou,6.054948659081162e-4,CN
Kochava,5.298080076696016e-4,Kochava,5.298080076696016e-4,US
Openx,4.288921966849156e-4,Openx,4.288921966849156e-4,US
Brightcove,4.036632439387441e-4,Brightcove,4.036632439387441e-4,US
Nexage,4.036632439387441e-4,Nexage,4.036632439387441e-4,US
Apsalar,3.784342911925726e-4,Apsalar,3.784342911925726e-4,US
I-Mobile,3.784342911925726e-4,I-Mobile,3.784342911925726e-4,JP
Noosphere,3.784342911925726e-4,Fiksu,3.784342911925726e-4,US
Aerserv,3.2797638570022957e-4,Aerserv,3.2797638570022957e-4,US
United Internet Media,2.7751848020788657e-4,United Internet Media,2.7751848020788657e-4,DE
360,2.522895274617151e-4,360,2.522895274617151e-4,CN
Iac,2.522895274617151e-4,Iac,2.522895274617151e-4,US
Jd.com,2.522895274617151e-4,Jd.com,2.522895274617151e-4,CN
Accuweather,2.0183162196937206e-4,Accuweather,2.0183162196937206e-4,US
Adstir,2.0183162196937206e-4,Adstir,2.0183162196937206e-4,JP
Gemius,2.0183162196937206e-4,Gemius,2.0183162196937206e-4,PL
Presage,2.0183162196937206e-4,Presage,2.0183162196937206e-4,US
RhythmOne,2.0183162196937206e-4,Radium One,1.5137371647702905e-4,US
RhythmOne,2.0183162196937206e-4,Blinkx,5.0457905492343014e-5,US
Xiaomi,2.0183162196937206e-4,Xiaomi,2.0183162196937206e-4,CN
