leaf_parent,pctOfApps.x,company,pctOfApps.y,country
Alphabet,0.8815229563269876,Google,0.8606942889137738,US
Alphabet,0.8815229563269876,Google Apis,0.7552071668533035,US
Alphabet,0.8815229563269876,Doubleclick,0.6716685330347144,US
Alphabet,0.8815229563269876,Google Analytics,0.419484882418813,US
Alphabet,0.8815229563269876,Adsense,0.40694288913773796,US
Alphabet,0.8815229563269876,Google Tag Manager,0.3628219484882419,US
Alphabet,0.8815229563269876,Firebase,0.20145576707726764,US
Alphabet,0.8815229563269876,Admob,0.09910414333706608,US
Alphabet,0.8815229563269876,Youtube,0.03135498320268757,US
Alphabet,0.8815229563269876,Blogger,0.0013437849944008958,US
Facebook,0.41668533034714444,Facebook,0.41668533034714444,US
Facebook,0.41668533034714444,Liverail,0.012430011198208286,US
Amazon,0.3427771556550952,Amazon,0.21052631578947367,US
Amazon,0.3427771556550952,Amazon Web Services,0.18107502799552072,US
Amazon,0.3427771556550952,Amazon Marketing Services,0.03650615901455767,US
Twitter,0.32071668533034714,Twitter,0.28846584546472565,US
Twitter,0.32071668533034714,Crashlytics,0.04949608062709966,US
Twitter,0.32071668533034714,Mopub,0.024524076147816348,US
Verizon,0.30873460246360585,Yahoo,0.20089585666293394,US
Verizon,0.30873460246360585,Flurry,0.13068309070548711,US
Verizon,0.30873460246360585,Tumblr,0.0083986562150056,US
Verizon,0.30873460246360585,Millennialmedia,0.00761478163493841,US
Verizon,0.30873460246360585,Flickr,0.005487122060470325,US
Verizon,0.30873460246360585,Verizon,2.2396416573348266e-4,US
Verizon,0.30873460246360585,Aol,1.1198208286674133e-4,US
Microsoft,0.22833146696528556,Microsoft,0.22810750279955208,US
Microsoft,0.22833146696528556,Bing,3.3594624860022396e-4,US
Unitytechnologies,0.20425531914893616,Unitytechnologies,0.20425531914893616,US
Linkedin,0.2,Linkedin,0.2,US
Chartboost,0.18947368421052632,Chartboost,0.18947368421052632,US
Applovin,0.13370660694288913,Applovin,0.13370660694288913,US
Cloudflare,0.1301231802911534,Cloudflare,0.1301231802911534,US
Vungle,0.1167973124300112,Vungle,0.1167973124300112,US
Opera,0.10201567749160134,Adcolony,0.10201567749160134,US
Adobe Systems,0.07905935050391938,Adobe Systems,0.07894736842105263,US
Adobe Systems,0.07905935050391938,Adobe Marketing Cloud,1.1198208286674133e-4,US
Inmobi,0.052407614781634936,Inmobi,0.052407614781634936,SG
Appsflyer,0.045464725643896975,Appsflyer,0.045464725643896975,US
Heyzap,0.04501679731243001,Heyzap,0.04501679731243001,US
Alibaba,0.04412094064949608,Umeng,0.0406494960806271,CN
