leaf_parent,pctOfApps.x,company,pctOfApps.y,country
Alphabet,0.9015112073217515,Google,0.8937085548309311,US
Alphabet,0.9015112073217515,Google Apis,0.752065408012276,US
Alphabet,0.9015112073217515,Doubleclick,0.7193100235655177,US
Alphabet,0.9015112073217515,Google Analytics,0.4581575053433441,US
Alphabet,0.9015112073217515,Google Tag Manager,0.39836342960486654,US
Alphabet,0.9015112073217515,Adsense,0.3107223105167973,US
Alphabet,0.9015112073217515,Admob,0.18918520852742918,US
Alphabet,0.9015112073217515,Firebase,0.18647243382473833,US
Alphabet,0.9015112073217515,Youtube,0.07546445991121828,US
Alphabet,0.9015112073217515,Blogger,0.0026613963939277688,US
Facebook,0.4582260097550282,Facebook,0.4581472296815915,US
Facebook,0.4582260097550282,Liverail,0.01421124020386913,US
Facebook,0.4582260097550282,Lifestreet,7.535485285252371e-5,US
Twitter,0.3581821669315504,Twitter,0.33971680276209787,US
Twitter,0.3581821669315504,Mopub,0.040256617526168686,US
Twitter,0.3581821669315504,Crashlytics,0.03029265084671453,US
Verizon,0.32012454102044174,Yahoo,0.24704403463583055,US
Verizon,0.32012454102044174,Flurry,0.08756576423521675,US
Verizon,0.32012454102044174,Millennialmedia,0.012882254617197348,US
Verizon,0.32012454102044174,Tumblr,0.010803145722584534,US
Verizon,0.32012454102044174,Flickr,0.0063366580807804026,US
Verizon,0.32012454102044174,Verizon,5.411848523044884e-4,US
Verizon,0.32012454102044174,Aol,1.4385926453663615e-4,US
Verizon,0.32012454102044174,One By Aol,2.397654408943936e-5,US
Verizon,0.32012454102044174,Gravity Insights,3.4252205842056227e-6,US
Verizon,0.32012454102044174,Intowow,3.4252205842056227e-6,US
Microsoft,0.2604811749876692,Microsoft,0.26014207814983287,US
Microsoft,0.2604811749876692,Bing,4.4185345536252533e-4,US
Linkedin,0.24332424508138323,Linkedin,0.24332424508138323,US
Amazon,0.24240628596481614,Amazon Web Services,0.16035170164958623,US
Amazon,0.24240628596481614,Amazon,0.11022359839973694,US
Amazon,0.24240628596481614,Amazon Marketing Services,0.032440264153011454,US
Unitytechnologies,0.15611812900750807,Unitytechnologies,0.15611812900750807,US
Chartboost,0.13800898777881296,Chartboost,0.13800898777881296,US
Applovin,0.0917959116567107,Applovin,0.0917959116567107,US
Cloudflare,0.08928522496848797,Cloudflare,0.08928522496848797,US
Opera,0.07274483476735902,Adcolony,0.07228585520907546,US
Opera,0.07274483476735902,Admarvel,7.569737491094426e-4,US
Heyzap,0.050891927440127147,Heyzap,0.050891927440127147,US
Vungle,0.047391352003069,Vungle,0.047391352003069,US
Adobe Systems,0.03846180194004494,Adobe Systems,0.03625595988381652,US
Adobe Systems,0.03846180194004494,Adobe Marketing Cloud,0.0022298186003178603,US
Adobe Systems,0.03846180194004494,Adobe Audience Manager,3.4252205842056227e-6,US
