leaf_parent,pctOfApps.x,company,pctOfApps.y,country
Alphabet,0.947387824697768,Google,0.9432863792070538,US
Alphabet,0.947387824697768,Doubleclick,0.7894437702576076,US
Alphabet,0.947387824697768,Google Apis,0.7769704603757355,US
Alphabet,0.947387824697768,Google Analytics,0.39899230402924774,US
Alphabet,0.947387824697768,Adsense,0.39482941366226826,US
Alphabet,0.947387824697768,Google Tag Manager,0.32109556214381174,US
Alphabet,0.947387824697768,Firebase,0.22287592743360113,US
Alphabet,0.947387824697768,Admob,0.13493294827877542,US
Alphabet,0.947387824697768,Youtube,0.08983240909998617,US
Alphabet,0.947387824697768,Blogger,0.005069202291893885,US
Alphabet,0.947387824697768,Alphabet,1.5361219066345106e-5,US
Facebook,0.5209603834160279,Facebook,0.5209450221969616,US
Facebook,0.5209603834160279,Liverail,0.0219665432648735,US
Facebook,0.5209603834160279,Lifestreet,4.608365719903532e-5,US
Twitter,0.3150125193935391,Twitter,0.29998924714665354,US
Twitter,0.3150125193935391,Crashlytics,0.03543833238605816,US
Twitter,0.3150125193935391,Mopub,0.009093841687276302,US
Amazon,0.30180187099648226,Amazon,0.20137022074071798,US
Amazon,0.30180187099648226,Amazon Web Services,0.10954085316210695,US
Amazon,0.30180187099648226,Amazon Marketing Services,0.006805020046390882,US
Microsoft,0.19344383170248391,Microsoft,0.19305980122582528,US
Microsoft,0.19344383170248391,Bing,5.990875435874591e-4,US
Verizon,0.18631622605569978,Yahoo,0.16021751486197944,US
Verizon,0.18631622605569978,Flurry,0.027972779919814436,US
Verizon,0.18631622605569978,Flickr,0.006267377379068803,US
Verizon,0.18631622605569978,Tumblr,0.0056222061782823084,US
Verizon,0.18631622605569978,Millennialmedia,0.004331863776709319,US
Verizon,0.18631622605569978,Verizon,4.1475291479131784e-4,US
Verizon,0.18631622605569978,Aol,2.765019431942119e-4,US
Verizon,0.18631622605569978,One By Aol,1.5361219066345106e-5,US
Linkedin,0.15600854083780089,Linkedin,0.15600854083780089,US
Oracle,0.0549317193812501,Oracle,0.0502004639088158,US
Oracle,0.0549317193812501,Moat,0.0043933086529747,US
Oracle,0.0549317193812501,Blue Kai,3.379468194595923e-4,US
