leaf_parent,pctOfApps.x,company,pctOfApps.y,country
Alphabet,0.8471448979822613,Google,0.8363532192222302,US
Alphabet,0.8471448979822613,Google Apis,0.6033615155844205,US
Alphabet,0.8471448979822613,Doubleclick,0.4828211400807397,US
Alphabet,0.8471448979822613,Google Analytics,0.33818324368537905,US
Alphabet,0.8471448979822613,Google Tag Manager,0.282924420555076,US
Alphabet,0.8471448979822613,Adsense,0.26792236625367044,US
Alphabet,0.8471448979822613,Firebase,0.18867910304300464,US
Alphabet,0.8471448979822613,Admob,0.12440020052997207,US
Alphabet,0.8471448979822613,Youtube,0.08743408331040306,US
Alphabet,0.8471448979822613,Blogger,0.005540959754539252,US
Alphabet,0.8471448979822613,Alphabet,2.6385522640663107e-5,US
Facebook,0.3551152104999303,Facebook,0.3550925943376668,US
Facebook,0.3551152104999303,Liverail,0.0039050573508181397,US
Facebook,0.3551152104999303,Lifestreet,2.6385522640663107e-5,US
Twitter,0.31653203767852633,Twitter,0.27786593892882316,US
Twitter,0.31653203767852633,Crashlytics,0.065666027131856,US
Twitter,0.31653203767852633,Mopub,0.012453966686392986,US
Verizon,0.2276580587040185,Yahoo,0.18443857261861235,US
Verizon,0.2276580587040185,Flurry,0.04568464777211955,US
Verizon,0.2276580587040185,Flickr,0.01934812681636053,US
Verizon,0.2276580587040185,Tumblr,0.009781490178931537,US
Verizon,0.2276580587040185,Millennialmedia,0.0034075017810227784,US
Verizon,0.2276580587040185,Verizon,0.0019035269905049812,US
Verizon,0.2276580587040185,Aol,0.001047882184872049,US
Verizon,0.2276580587040185,Intowow,1.130808113171276e-5,US
Verizon,0.2276580587040185,Brightroll,7.538720754475173e-6,US
Verizon,0.2276580587040185,One By Aol,7.538720754475173e-6,US
Microsoft,0.19190944488629724,Microsoft,0.19085025462029348,US
Microsoft,0.19190944488629724,Bing,0.001496436069763322,US
Linkedin,0.18925204582034474,Linkedin,0.18925204582034474,US
Amazon,0.10953384320214703,Amazon Web Services,0.07827453759371572,US
Amazon,0.10953384320214703,Amazon,0.037305359653520394,US
Amazon,0.10953384320214703,Amazon Marketing Services,0.007700803250696389,US
Amazon,0.10953384320214703,Alexa,4.523232452685104e-5,US
Adobe Systems,0.028198584982114385,Adobe Systems,0.020377162199346394,US
Adobe Systems,0.028198584982114385,Adobe Marketing Cloud,0.007836500224276942,US
Adobe Systems,0.028198584982114385,Adobe Audience Manager,7.538720754475173e-6,US
Adobe Systems,0.028198584982114385,Livefyre,7.538720754475173e-6,US
Adobe Systems,0.028198584982114385,Tube Mogul,3.7693603772375864e-6,US
Alibaba,0.020079382729544622,Alibaba,0.014395187280670343,CN
Alibaba,0.020079382729544622,Umeng,0.00727863488844578,CN
Baidu,0.01685281024662925,Baidu,0.01685281024662925,CN
Yandex,0.01622709642400781,Yandex,0.016215788342876097,RU
Yandex,0.01622709642400781,Adfox,1.5077441508950346e-5,RU
IAC,0.012691436390158954,Vimeo,0.011055533986437842,US
IAC,0.012691436390158954,Tripadvisor,0.0010968838697761377,US
IAC,0.012691436390158954,Ask.com,5.164023716815494e-4,US
IAC,0.012691436390158954,Dictionary.com,1.5077441508950346e-4,US
IAC,0.012691436390158954,About.com,1.8846801886187933e-5,US
New Relic,0.0124954296505426,New Relic,0.0124954296505426,US
Revmob,0.01141739258265265,Revmob,0.01141739258265265,DE
Inmobi,0.010735138354372646,Inmobi,0.010735138354372646,SG
Mapbox,0.01018481173929596,Mapbox,0.01018481173929596,US
Mixpanel,0.010071730927978832,Mixpanel,0.010071730927978832,US
Appsflyer,0.009954880756284467,Appsflyer,0.009954880756284467,US
Applovin,0.00907285042801087,Applovin,0.00907285042801087,US
Cloudflare,0.008835380724244902,Cloudflare,0.008835380724244902,US
Akamai,0.00863560462425131,Akamai,0.008594141660101697,US
Akamai,0.00863560462425131,Soasta,4.146296414961345e-5,US
Opera,0.008624296543119598,Adcolony,0.008413212361994294,US
Opera,0.008624296543119598,Admarvel,2.7139394716110626e-4,US
Chartboost,0.008360441316712966,Chartboost,0.008360441316712966,US
Tencent,0.00784026958465418,Tencent,0.00784026958465418,CN
Oracle,0.007783729178995617,Oracle,0.006317447992250195,US
Oracle,0.007783729178995617,Moat,0.001330584213164868,US
Oracle,0.007783729178995617,Addthis,1.2438889244884035e-4,US
Oracle,0.007783729178995617,Blue Kai,1.5077441508950346e-5,US
Salesforce,0.0077158806922053395,Salesforce,0.007670648367678489,US
Salesforce,0.0077158806922053395,Krux Digital,4.523232452685104e-5,US
Apple,0.007470872267684897,Apple,0.007470872267684897,US
Urbanairship,0.007109013671470088,Urbanairship,0.007109013671470088,US
Foursquare,0.006656690426201578,Foursquare,0.006656690426201578,US
Unitytechnologies,0.00618552037904688,Unitytechnologies,0.00618552037904688,US
Zeta Global,0.005759582656419032,Disqus,0.005759582656419032,US
Appnext,0.005597500160197816,Appnext,0.005597500160197816,UK
