leaf_parent,n.x,pctOfApps.x,company,n.y,pctOfApps.y,country
Alphabet,848474,88.43558544379661,Google,840157,87.56871295962377,US
Alphabet,848474,88.43558544379661,Google Apis,647673,67.50630064225902,US
Alphabet,848474,88.43558544379661,Doubleclick,583805,60.849403705965855,US
Alphabet,848474,88.43558544379661,Google Analytics,378201,39.41950708027508,US
Alphabet,848474,88.43558544379661,Google Tag Manager,325092,33.88400981420141,US
Alphabet,848474,88.43558544379661,Adsense,288983,30.120405325684313,US
Alphabet,848474,88.43558544379661,Firebase,184208,19.199813221655447,US
Alphabet,848474,88.43558544379661,Admob,140776,14.672939861959131,US
Alphabet,848474,88.43558544379661,Youtube,91203,9.505996293617224,US
Alphabet,848474,88.43558544379661,Blogger,4454,0.46423590771982415,US
Alphabet,848474,88.43558544379661,Alphabet,11,0.0011465188560660228,US
Facebook,408203,42.5465851457017,Facebook,408166,42.54272867318584,US
Facebook,408203,42.5465851457017,Liverail,9891,1.0309289095771845,US
Facebook,408203,42.5465851457017,Lifestreet,48,0.0050029913719244635,US
Twitter,325045,33.879111051816395,Twitter,296837,30.939019788915456,US
Twitter,325045,33.879111051816395,Crashlytics,48948,5.1018004515199715,US
Twitter,325045,33.879111051816395,Mopub,24075,2.5093128599808634,US
Verizon,252044,26.270290778027693,Yahoo,199782,20.823075463871106,US
Verizon,252044,26.270290778027693,Flurry,60219,6.2765653630399845,US
Verizon,252044,26.270290778027693,Flickr,13132,1.368735056169001,US
Verizon,252044,26.270290778027693,Tumblr,11696,1.2190622309589276,US
Verizon,252044,26.270290778027693,Millennialmedia,6832,0.7120924386039152,US
Verizon,252044,26.270290778027693,Verizon,1096,0.11423496965894192,US
Verizon,252044,26.270290778027693,Aol,548,0.05711748482947096,US
Verizon,252044,26.270290778027693,Intowow,11,0.0011465188560660228,US
Verizon,252044,26.270290778027693,One By Aol,11,0.0011465188560660228,US
Verizon,252044,26.270290778027693,Brightroll,2,2.0845797383018595e-4,US
Verizon,252044,26.270290778027693,Gravity Insights,2,2.0845797383018595e-4,US
Microsoft,212944,22.19493738964756,Microsoft,212126,22.109678078351013,US
Microsoft,212944,22.19493738964756,Bing,1162,0.12111408279533804,US
Linkedin,197848,20.621496603177317,Linkedin,197848,20.621496603177317,US
Amazon,171813,17.90789492884287,Amazon Web Services,111046,11.574212080973416,US
Amazon,171813,17.90789492884287,Amazon,74041,7.7172184201804,US
Amazon,171813,17.90789492884287,Amazon Marketing Services,16588,1.7289504349475622,US
Amazon,171813,17.90789492884287,Alexa,16,0.0016676637906414876,US
Unitytechnologies,55490,5.78366648391851,Unitytechnologies,55490,5.78366648391851,US
Chartboost,52288,5.449925267816382,Chartboost,52288,5.449925267816382,US
Applovin,37931,3.953509702676392,Applovin,37931,3.953509702676392,US
Cloudflare,36933,3.8494891737351296,Cloudflare,36933,3.8494891737351296,US
Opera,30674,3.197119944633562,Adcolony,29945,3.1211370131724596,US
Opera,30674,3.197119944633562,Admarvel,875,0.09120036355070636,US
Adobe Systems,28677,2.9889746577641216,Adobe Systems,23287,2.4271804182917704,US
Adobe Systems,28677,2.9889746577641216,Adobe Marketing Cloud,5400,0.5628365293415021,US
Adobe Systems,28677,2.9889746577641216,Adobe Audience Manager,5,5.21144934575465e-4,US
Adobe Systems,28677,2.9889746577641216,Livefyre,5,5.21144934575465e-4,US
Adobe Systems,28677,2.9889746577641216,Tube Mogul,4,4.169159476603719e-4,US
Adobe Systems,28677,2.9889746577641216,Typekit,2,2.0845797383018595e-4,US
Alibaba,25894,2.6989053871794177,Alibaba,17861,1.8616339352904756,CN
Alibaba,25894,2.6989053871794177,Umeng,9311,0.9704760971664308,CN
Yandex,21159,2.205381134136452,Yandex,21088,2.197980876065481,RU
Yandex,21159,2.205381134136452,Adfox,76,0.007921403005547067,RU
Inmobi,19277,2.0092221807622472,Inmobi,19277,2.0092221807622472,SG
Baidu,19224,2.0036980444557475,Baidu,19224,2.0036980444557475,CN
Revmob,18118,1.8884207849276544,Revmob,18118,1.8884207849276544,DE
Appsflyer,16848,1.7560499715454865,Appsflyer,16848,1.7560499715454865,US
Heyzap,16703,1.740936768442798,Heyzap,16703,1.740936768442798,US
Akamai,15753,1.6419192308734596,Akamai,15737,1.6402515670828184,US
Akamai,15753,1.6419192308734596,Soasta,16,0.0016676637906414876,US
Vungle,15213,1.5856355779393094,Vungle,15213,1.5856355779393094,US
Oracle,13509,1.4080293842359912,Oracle,8009,0.8347699562029798,US
Oracle,13509,1.4080293842359912,Moat,5275,0.5498079059771155,US
Oracle,13509,1.4080293842359912,Addthis,128,0.013341310325131901,US
Oracle,13509,1.4080293842359912,Blue Kai,102,0.010631356665339485,US
Apple,10267,1.0701190086572598,Apple,10267,1.0701190086572598,US
IAC,10058,1.048335150392005,Vimeo,9280,0.9672449985720628,US
IAC,10058,1.048335150392005,Ask.com,424,0.04419309045199943,US
IAC,10058,1.048335150392005,Tripadvisor,339,0.03533362656421652,US
IAC,10058,1.048335150392005,Dictionary.com,143,0.014904745128858298,US
IAC,10058,1.048335150392005,About.com,45,0.004690304411179185,US
Appnext,9913,1.0332219472893167,Appnext,9913,1.0332219472893167,UK
Zeta Global,9500,0.9901753756933832,Disqus,9500,0.9901753756933832,US
Ironsource,9031,0.9412919808302047,Ironsource,9031,0.9412919808302047,US
Tencent,8755,0.9125247804416391,Tencent,8755,0.9125247804416391,CN
Appodeal,8482,0.8840702670138187,Appodeal,8482,0.8840702670138187,US
Startapp,7956,0.8292458198964797,Startapp,7956,0.8292458198964797,US
Pubnative,7908,0.8242428285245552,Pubnative,7908,0.8242428285245552,DE
New Relic,7726,0.8052731529060084,New Relic,7726,0.8052731529060084,US
Cheetahmobile,7638,0.7961010020574801,Cheetahmobile,7638,0.7961010020574801,CN
Mapbox,7068,0.7366904795158772,Mapbox,7068,0.7366904795158772,US
Rubicon Project,6857,0.7146981632767926,Rubicon Project,6856,0.7145939342898775,US
Rubicon Project,6857,0.7146981632767926,Chango,1,1.0422898691509298e-4,CA
Mixpanel,6732,0.7016695399124059,Mixpanel,6732,0.7016695399124059,US
Amplitude,6511,0.6786349338041704,Amplitude,6511,0.6786349338041704,US
Urbanairship,5622,0.5859753644366528,Urbanairship,5622,0.5859753644366528,US
Foursquare,5572,0.5807639150908981,Foursquare,5572,0.5807639150908981,US
Limelight Networks,5566,0.5801385411694076,Limelight Networks,5566,0.5801385411694076,US
Sina,5211,0.5431372508145496,Sina,3301,0.3440598858067219,CN
Sina,5211,0.5431372508145496,Weibo,3074,0.32039990577699584,CN
Spearhead Integrated Marketing Communication ,4860,0.5065528764073518,Smaato,4860,0.5065528764073518,US
Mobfox,4754,0.495504603794352,Mobfox,4754,0.495504603794352,AT
Pushwoosh,4397,0.45829485546566384,Pushwoosh,4397,0.45829485546566384,US
