hosts,numApps,pctOfApps,company,country,root_parent
plus.google.com,662186,69.02,Google,US,Alphabet
www.googleapis.com,636070,66.3,Google Apis,US,Alphabet
www.google.com,615267,64.13,Google,US,Alphabet
schemas.android.com,611950,63.78,Google,US,Alphabet
googleads.g.doubleclick.net,581795,60.64,Doubleclick,US,Alphabet
play.google.com,422068,43.99,Google,US,Alphabet
csi.gstatic.com,421463,43.93,Google,US,Alphabet
goo.gl,411176,42.86,Google,US,Alphabet
ssl.google-analytics.com,373419,38.92,Google Analytics,US,Alphabet
www.google-analytics.com,373141,38.89,Google Analytics,US,Alphabet
www.googletagmanager.com,324898,33.86,Google Tag Manager,US,Alphabet
www.facebook.com,318180,33.16,Facebook,US,NA
pagead2.googlesyndication.com,279441,29.13,Adsense,US,Alphabet
twitter.com,265043,27.63,Twitter,US,NA
accounts.google.com,214333,22.34,Google,US,Alphabet
www.linkedin.com,193198,20.14,Linkedin,US,NA
login.yahoo.com,189660,19.77,Yahoo,US,Verizon
login.live.com,189001,19.7,Microsoft,US,NA
app-measurement.com,179655,18.73,Firebase,US,Alphabet
graph.facebook.com,159704,16.65,Facebook,US,NA
developers.facebook.com,140443,14.64,Facebook,US,NA
facebook.com,136708,14.25,Facebook,US,NA
.facebook.com,135955,14.17,Facebook,US,NA
media.admob.com,135633,14.14,Admob,US,Alphabet
market.android.com,119132,12.42,Google,US,Alphabet
m.facebook.com,114266,11.91,Facebook,US,NA
developer.android.com,90408,9.42,Google,US,Alphabet
support.google.com,77633,8.09,Google,US,Alphabet
maps.google.com,73731,7.68,Google,US,Alphabet
www.youtube.com,73330,7.64,Youtube,US,Alphabet
sb-ssl.google.com,70438,7.34,Google,US,Alphabet
api.twitter.com,66469,6.93,Twitter,US,NA
www.amazon.com,64361,6.71,Amazon,US,NA
graph.%s.facebook.com,64218,6.69,Facebook,US,NA
www.%s.facebook.com,63392,6.61,Facebook,US,NA
maps.googleapis.com,60910,6.35,Google Apis,US,Alphabet
ssl.gstatic.com,60394,6.29,Google,US,Alphabet
api.facebook.com,58169,6.06,Facebook,US,NA
data.flurry.com,57665,6.01,Flurry,US,Verizon
docs.google.com,51476,5.37,Google,US,Alphabet
live.chartboost.com,50597,5.27,Chartboost,US,NA
code.google.com,50243,5.24,Google,US,Alphabet
settings.crashlytics.com,48870,5.09,Crashlytics,US,Twitter
d1byvlfiet2h9q.cloudfront.net,48453,5.05,Amazon Web Services,US,Amazon
e.crashlytics.com,48396,5.04,Crashlytics,US,Twitter
schemas.applovin.com,37174,3.87,Applovin,US,NA
vid.applovin.com,37115,3.87,Applovin,US,NA
d.applovin.com,37055,3.86,Applovin,US,NA
img.applovin.com,36951,3.85,Applovin,US,NA
pdn.applovin.com,36951,3.85,Applovin,US,NA
cdnjs.cloudflare.com,36930,3.85,Cloudflare,US,NA
assets.applovin.com,36819,3.84,Applovin,US,NA
developers.google.com,36278,3.78,Google,US,Alphabet
proton.flurry.com,36151,3.77,Flurry,US,Verizon
support.twitter.com,36076,3.76,Twitter,US,NA
a.applovin.com,35553,3.71,Applovin,US,NA
s3.amazonaws.com,35235,3.67,Amazon Web Services,US,Amazon
www.gstatic.com,35173,3.67,Google,US,Alphabet
rt.applovin.com,31724,3.31,Applovin,US,NA
impact.staging.applifier.com,31458,3.28,Unitytechnologies,US,NA
mobilecrashreporting.googleapis.com,30812,3.21,Google Apis,US,Alphabet
impact.applifier.com,30727,3.2,Unitytechnologies,US,NA
google.com,29401,3.06,Google,US,Alphabet
lh6.ggpht.com,27835,2.9,Google,US,Alphabet
e.admob.com,27442,2.86,Admob,US,Alphabet
stream.twitter.com,25207,2.63,Twitter,US,NA
www.google.co.jp,24948,2.6,Google,US,Alphabet
dev.twitter.com,24484,2.55,Twitter,US,NA
userstream.twitter.com,24450,2.55,Twitter,US,NA
sitestream.twitter.com,23453,2.44,Twitter,US,NA
schemas.microsoft.com,23385,2.44,Microsoft,US,NA
analytics.mopub.com,20683,2.16,Mopub,US,Twitter
i.w.inmobi.com,18538,1.93,Inmobi,SG,NA
console.firebase.google.com,18461,1.92,Google,US,Alphabet
www.mopub.com,18050,1.88,Mopub,US,Twitter
android.revmob.com,17533,1.83,Revmob,DE,NA
m.google.com,17413,1.81,Google,US,Alphabet
revmob.com,17400,1.81,Revmob,DE,NA
config.unityads.unity3d.com,17312,1.8,Unitytechnologies,US,NA
androidads23.adcolony.com,17025,1.77,Adcolony,US,Opera
api.appsflyer.com,16454,1.71,Appsflyer,US,NA
upload.twitter.com,16287,1.7,Twitter,US,NA
amazon-adsystem.com,15960,1.66,Amazon Marketing Services,US,Amazon
www.chartboost.com,15733,1.64,Chartboost,US,NA
dock.inmobi.com,15664,1.63,Inmobi,SG,NA
sdkm.w.inmobi.com,15622,1.63,Inmobi,SG,NA
alipay.com,15145,1.58,Alibaba,CN,NA
firebase.google.com,15115,1.58,Google,US,Alphabet
api.vungle.com,14938,1.56,Vungle,US,NA
api.map.baidu.com,14715,1.53,Baidu,CN,NA
www.twitter.com,14660,1.53,Twitter,US,NA
ads.flurry.com,14604,1.52,Flurry,US,Verizon
adlog.flurry.com,14070,1.47,Flurry,US,Verizon
ingest.vungle.com,13223,1.38,Vungle,US,NA
ads.heyzap.com,13012,1.36,Heyzap,US,NA
img.youtube.com,12984,1.35,Youtube,US,Alphabet
