id,numFamilyHosts,title,genre,version
802146,72,Halloween Cars: Monster Race,GAME_ADVENTURE,2017-08-28
802020,71,Puzzles for kids Farm Animals,GAME_EDUCATIONAL,2.4.3.0
802138,70,Princess Wedding Photoshoot,GAME_EDUCATIONAL,1.0.1
629603,63,Smart Games for Kids for Free,GAME_EDUCATIONAL,1.6
629608,63,Fiksiki Town Games Free & Preschool Learning Games,GAME_ADVENTURE,1.8.1
8141,62,Design It Girl - Fashion Salon,GAME_CASUAL,1.0.2
11463,62,Candy Nail Art - Sweet Fashion,GAME_CASUAL,1.0.3
15512,62,OMG Gross Zit - Date Nightmare,GAME_CASUAL,1.0.1
17841,62,My Teacher - Classroom Play,GAME_ROLE_PLAYING,1.0.6
19680,62,Candy Makeup - Sweet Salon,GAME_CASUAL,1.0.8
65184,62,Baby Twins - Newborn Care,GAME_CASUAL,1.0.2
87469,62,Kids Emergency Doctor,GAME_ROLE_PLAYING,1.0.1
299693,62,Island Princess - Royal Magic Quest,GAME_ROLE_PLAYING,1.0.0
384253,62,Аркадий Паровозов Free,GAME_EDUCATIONAL,1.161111
1231369,62,Karate Girl vs. School Bully-Based on true stories,GAME_ROLE_PLAYING,1.0.0
170281,60,Tiffany Alvord Dream World,GAME_MUSIC,1.0.0
87842,59,Masha and the Bear: House Cleaning Games for Girls,GAME_ROLE_PLAYING,1.6.6
245672,59,Fold the World,GAME_PUZZLE,1.1.0
22993,58,Coco Pony - My Dream Pet,GAME_CASUAL,1.0.4
72203,58,Care Bears Rainbow Playtime,GAME_CASUAL,1.1.0
272535,58,Little Panda Math Farm,PARENTING,8.12.00.00
314593,58,Ant Smasher Christmas Free,GAME_ACTION,1.55
1051460,58,Counting 123 - Learn to Count!,EDUCATION,1.0.6
96421,57,Baby Panda's Farm - Kids' farmville,GAME_EDUCATIONAL,8.13.00.00
129196,57,Friends of the Forest - Free,GAME_EDUCATIONAL,8.16.00.11
802152,57,Nancy’s House Shifting Design,GAME_ROLE_PLAYING,1.0.3
1308992,57,Starland: Connect the Gems,GAME_PUZZLE,1.1.7
632422,56,4 Pics 1 Word,GAME_WORD,3.12.2dk
42124,55,Childrens Countdown Timer - Visual Timer For Kids,EDUCATION,3.0.10
187696,55,Slice The Cheese,GAME_PUZZLE,2015-09-29
405848,55,Be-be-bears Free,GAME_EDUCATIONAL,4.170510
733536,55,Birds Match 3 : Pop Mania Game,GAME_PUZZLE,0.0.0.6
35360,54,Touch Racing 2 - Mini RC Race,GAME_RACING,1.4.2.1
71184,54,Fiksiki Sky Run: Endless Games,GAME_ARCADE,1.6
278702,54,Word Cookies Word Search Game 2017,GAME_WORD,1.0.1
279921,54,Paper Tales Free,GAME_EDUCATIONAL,4.170511
279922,54,Be-be-bears - Creative world,GAME_EDUCATIONAL,1.170417
368818,54,Baahubali Temple Thief,GAME_STRATEGY,1.0.0
629788,54,Creature Seekers,GAME_EDUCATIONAL,1.028
694008,54,Be-be-bears: Early Learning,GAME_EDUCATIONAL,1.170606.18
1004590,54,Summa!,GAME_PUZZLE,1.1.3
1170075,54,Kids Preschool Puzzle Learning,GAME_EDUCATIONAL,Puzzles_v1
1170080,54,Kids Preschool Learning Cards,EDUCATION,Flashcards_v2
20657,53,Weapons of Heroes. Museum 3D,GAME_SIMULATION,1.5.8
27430,53,Cockroach Smasher,GAME_ACTION,2.09
39143,53,DogHotel Lite: My Dog Boarding,GAME_SIMULATION,1.7.19716
67419,53,Care Bears Music Band,GAME_CASUAL,1.0.5
242752,53,DUMB,GAME_PUZZLE,3.2.2dk
265145,53,Upside Down - Logic Game,GAME_EDUCATIONAL,8.16.00.11
422840,53,Guess The Celebrity Name Game,GAME_TRIVIA,3.13.2dl
629607,53,Фиксики Тамагочи + Мультики,GAME_ROLE_PLAYING,1.3
734386,53,NHL Logo Quiz Puzzle,GAME_TRIVIA,3.1.2dk
756385,53,Fairy Tale Puzzles,GAME_CASUAL,1.0.6
920999,53,Candy Swap Fever 2,GAME_CASUAL,1.9
1186892,53,Tic Tac Toe,GAME_BOARD,1.14
65345,52,Pocket Shrek,GAME_CASUAL,2.09
162496,52,Sumikko gurashi-Puzzling Ways,GAME_PUZZLE,2017-07-22
254105,52,Leftie,GAME_CASUAL,2.0
282178,52,Tanktoon RanZar Coloring,GAME_BOARD,1.2.0
310293,52,Sweet Candy fun,GAME_CASUAL,0.0.0.0004
507716,52,Coddy: World on Algorithm Free,GAME_PUZZLE,2.76
1096444,52,Hex Puzzle,GAME_PUZZLE,1.3
22155,51,Masha and Bear: Cooking Dash,GAME_ROLE_PLAYING,1.1
138197,51,Princess and Pea Book for Kids,BOOKS_AND_REFERENCE,1.1.7
