hosts,numApps,pctOfApps,company,country,root_parent,leaf_parent
www.googleapis.com,6497,72.75,Google,US,Alphabet,Alphabet
plus.google.com,6259,70.09,Google,US,Alphabet,Alphabet
www.google.com,6004,67.23,Google,US,Alphabet,Alphabet
googleads.g.doubleclick.net,5967,66.82,Doubleclick,US,Alphabet,Alphabet
schemas.android.com,4893,54.79,Google,US,Alphabet,Alphabet
csi.gstatic.com,4419,49.48,Google,US,Alphabet,Alphabet
goo.gl,4056,45.42,Google,US,Alphabet,Alphabet
ssl.google-analytics.com,3700,41.43,Google Analytics,US,Alphabet,Alphabet
www.google-analytics.com,3675,41.15,Google Analytics,US,Alphabet,Alphabet
pagead2.googlesyndication.com,3443,38.56,Google,US,Alphabet,Alphabet
play.google.com,3311,37.08,Google,US,Alphabet,Alphabet
www.googletagmanager.com,3238,36.26,Google,US,Alphabet,Alphabet
www.facebook.com,2954,33.08,Facebook,US,Facebook,Facebook
twitter.com,2443,27.36,Twitter,US,Twitter,Twitter
market.android.com,2130,23.85,Google,US,Alphabet,Alphabet
accounts.google.com,1854,20.76,Google,US,Alphabet,Alphabet
www.amazon.com,1805,20.21,Amazon,US,Amazon,Amazon
app-measurement.com,1795,20.1,App-Measurement,NA,App-Measurement,App-Measurement
www.linkedin.com,1761,19.72,Linkedin,US,LinkedIn,LinkedIn
www.paypal.com,1720,19.26,Paypal,NA,Paypal,Paypal
login.yahoo.com,1719,19.25,Yahoo,US,Verizon,Verizon
login.live.com,1717,19.23,Microsoft,US,Microsoft,Microsoft
live.chartboost.com,1641,18.38,Chartboost,NA,Chartboost,Chartboost
developer.android.com,1629,18.24,Google,US,Alphabet,Alphabet
developers.facebook.com,1574,17.63,Facebook,US,Facebook,Facebook
.facebook.com,1538,17.22,Facebook,US,Facebook,Facebook
facebook.com,1458,16.33,Facebook,US,Facebook,Facebook
graph.facebook.com,1296,14.51,Facebook,US,Facebook,Facebook
schemas.applovin.com,1185,13.27,Applovin,NA,Applovin,Applovin
cdnjs.cloudflare.com,1162,13.01,Cloudflare,US,Cloudflare,Cloudflare
d.applovin.com,1162,13.01,Applovin,NA,Applovin,Applovin
img.applovin.com,1162,13.01,Applovin,NA,Applovin,Applovin
pdn.applovin.com,1162,13.01,Applovin,NA,Applovin,Applovin
assets.applovin.com,1160,12.99,Applovin,NA,Applovin,Applovin
vid.applovin.com,1160,12.99,Applovin,NA,Applovin,Applovin
data.flurry.com,1122,12.56,Flurry,NA,Verizon,Verizon
a.applovin.com,1084,12.14,Applovin,NA,Applovin,Applovin
m.facebook.com,1069,11.97,Facebook,US,Facebook,Facebook
api.vungle.com,1032,11.56,Vungle,NA,Vungle,Vungle
support.google.com,1010,11.31,Google,US,Alphabet,Alphabet
ingest.vungle.com,959,10.74,Vungle,NA,Vungle,Vungle
rt.applovin.com,959,10.74,Applovin,NA,Applovin,Applovin
media.admob.com,881,9.87,Admob,NA,Alphabet,Alphabet
impact.applifier.com,879,9.84,Applifier,NA,Unity Technologies,Unity Technologies
impact.staging.applifier.com,877,9.82,Applifier,NA,Unity Technologies,Unity Technologies
sb-ssl.google.com,812,9.09,Google,US,Alphabet,Alphabet
config.unityads.unity3d.com,789,8.84,Unitytechnologies,NA,Unitytechnologies,Unitytechnologies
