hosts,refCount,propOfApps
www.example.com,2983,0.33404255319148934
app-measurement.com,1795,0.20100783874580067
www.paypal.com,1720,0.19260918253079506
schema.org,1544,0.1729003359462486
www.w3.org,848,0.09496080627099664
config.unityads.unity3d.com,789,0.0883538633818589
github.com,760,0.0851063829787234
xmlpull.org,597,0.06685330347144457
settings.crashlytics.com,441,0.049384098544232924
e.crashlytics.com,440,0.04927211646136618
loopj.com,437,0.04893617021276596
fabric.io,430,0.048152295632698766
www.coronalabs.com,405,0.04535274356103024
cdn.kidoz.net,403,0.045128779395296754
xml.apache.org,392,0.0438969764837626
analytics.kidoz.net,379,0.04244120940649496
sdk-api.kidoz.net,373,0.041769316909294515
kidoz.net,361,0.04042553191489362
api.intercom.io,350,0.03919372900335946
alog.umeng.com,335,0.037513997760358346
api.amplitude.com,313,0.03505039193729003
a.applvn.com,306,0.034266517357222845
d.applvn.com,306,0.034266517357222845
rt.applvn.com,306,0.034266517357222845
hostname,305,0.0341545352743561
mobilelogs.supersonic.com,285,0.031914893617021274
ads.heyzap.com,281,0.03146696528555431
docs.coronalabs.com,276,0.030907054871220606
log.umsns.com,276,0.030907054871220606
accounts.kidoz.net,259,0.029003359462486004
med.heyzap.com,242,0.027099664053751398
chartboo.st,240,0.026875699888017916
iap.samsungapps.com,239,0.026763717805151174
app.adjust.com,224,0.025083986562150055
engine.fyber.com,219,0.024524076147816348
cdn.unityads.unity3d.com,217,0.024300111982082866
appnext.hs.llnwd.net,212,0.02374020156774916
video.fyber.com,205,0.02295632698768197
x.heyzap.com,197,0.02206047032474804
alog.umengcloud.com,195,0.021836506159014557
cmnsguider.yunos.com,190,0.02127659574468085
onesignal.com,186,0.020828667413213885
p.univide.com,179,0.020044792833146696
banner.fyber.com,175,0.01959686450167973
d.appsdt.com,173,0.01937290033594625
oc.umeng.com,173,0.01937290033594625
uop.umeng.com,170,0.019036954087346025
graph.%s,169,0.018924972004479283
api.appnxt.net,167,0.0187010078387458
www.avocarrot.com,165,0.018477043673012318
ads.avocarrot.com,164,0.018365061590145577
interstitial.fyber.com,163,0.018253079507278835
graph-video.%s,159,0.01780515117581187
sdklogs.avocarrot.com,158,0.01769316909294513
api.fyber.com,156,0.017469204927211646
service.fyber.com,156,0.017469204927211646
adc3-launch-server-staging.herokuapp.com,149,0.016685330347144457
alog.umeng.co,149,0.016685330347144457
offer.fyber.com,148,0.016573348264277716
twitter4j.org,146,0.016349384098544233
sdk.kidoz.net,145,0.016237402015677492
ilyonanalytics.herokuapp.com,139,0.015565509518477044
ilyoncp.herokuapp.com,139,0.015565509518477044
www.startappexchange.com,138,0.015453527435610303
fb.me,130,0.014557670772676373
flurry.cachefly.net,127,0.014221724524076149
fyc.heyzap.com,127,0.014221724524076149
track.atom-data.io,127,0.014221724524076149
stats.coronalabs.com,126,0.014109742441209407
config-alpha.yvolver.com,125,0.013997760358342666
config-dev.yvolver.com,125,0.013997760358342666
config-prod.yvolver.com,125,0.013997760358342666
config-staging.yvolver.com,125,0.013997760358342666
config-swap.yvolver.com,125,0.013997760358342666
oc.umeng.co,123,0.013773796192609182
api.mobula.sdk.duapps.com,122,0.01366181410974244
rts.mobula.sdk.duapps.com,122,0.01366181410974244
www.ilyondynamics.com,120,0.013437849944008958
www.yvolver.com,117,0.013101903695408734
sdk.starbolt.io,114,0.01276595744680851
tech.yandex.com,110,0.012318029115341545
www.dummy.com,110,0.012318029115341545
init.startappexchange.com,108,0.012094064949608062
www.firebase.com,108,0.012094064949608062
shop.nimpha.com.ua,101,0.011310190369540873
www.psvgamestudio.com,101,0.011310190369540873
pspush.psvgamestudio.com,100,0.011198208286674132
app-zh.babybus.org,89,0.009966405375139977
appmange.babybus.org,88,0.009854423292273236
app.getsentry.com,87,0.009742441209406495
dc.babybus.org,87,0.009742441209406495
connect.tapjoy.com,86,0.009630459126539754
pic.babybus.org,84,0.009406494960806271
beta.api.babybus.co,83,0.00929451287793953
tech.tapjoy.com,80,0.008958566629339306
box.babybus.co,79,0.008846584546472564
testdc.babybus.co,78,0.008734602463605823
cache-api-ks.babybus.org,76,0.00851063829787234
tinyurl.com,76,0.00851063829787234
www.babybus.com,76,0.00851063829787234
