hosts,refFamilyCount,company,country,parent_id
www.googleapis.com,6497,Google,US,Alphabet
plus.google.com,6259,Google,US,Alphabet
www.google.com,6004,Google,US,Alphabet
googleads.g.doubleclick.net,5967,DoubleClick,US,Google
schemas.android.com,4893,Google,US,Alphabet
csi.gstatic.com,4419,Google,US,Alphabet
goo.gl,4056,Google,US,Alphabet
ssl.google-analytics.com,3700,Google Analytics,US,Google
www.google-analytics.com,3675,Google Analytics,US,Google
pagead2.googlesyndication.com,3443,Google,US,Alphabet
play.google.com,3311,Google,US,Alphabet
www.googletagmanager.com,3238,Google Tag Manager,US,Google
www.example.com,2983,unknown,NA,NA
www.facebook.com,2954,Facebook,US,NA
twitter.com,2443,Twitter,US,NA
market.android.com,2130,Google,US,Alphabet
accounts.google.com,1854,Google,US,Alphabet
www.amazon.com,1805,Amazon,US,NA
app-measurement.com,1795,unknown,NA,NA
www.linkedin.com,1761,LinkedIn,US,NA
www.paypal.com,1720,unknown,NA,NA
login.yahoo.com,1719,Yahoo,US,Oath
login.live.com,1717,Microsoft,US,NA
live.chartboost.com,1641,Chartboost,,
developer.android.com,1629,Google,US,Alphabet
developers.facebook.com,1574,Facebook,US,NA
schema.org,1544,unknown,NA,NA
.facebook.com,1538,Facebook,US,NA
facebook.com,1458,Facebook,US,NA
graph.facebook.com,1296,Facebook,US,NA
schemas.applovin.com,1185,Applovin,US,
cdnjs.cloudflare.com,1162,Cloudflare,US,NA
d.applovin.com,1162,Applovin,US,
img.applovin.com,1162,Applovin,US,
pdn.applovin.com,1162,Applovin,US,
assets.applovin.com,1160,Applovin,US,
vid.applovin.com,1160,Applovin,US,
data.flurry.com,1122,Flurry,US,Yahoo
a.applovin.com,1084,Applovin,US,
m.facebook.com,1069,Facebook,US,NA
api.vungle.com,1032,Vungle,US,
support.google.com,1010,Google,US,Alphabet
ingest.vungle.com,959,Vungle,US,
rt.applovin.com,959,Applovin,US,
media.admob.com,881,Admob,US,Google
impact.applifier.com,879,Applifier,FI,Unity Technologies
impact.staging.applifier.com,877,Applifier,FI,Unity Technologies
www.w3.org,848,unknown,NA,NA
sb-ssl.google.com,812,Google,US,Alphabet
config.unityads.unity3d.com,789,unknown,NA,NA
graph.%s.facebook.com,783,Facebook,US,NA
www.vungle.com,780,Vungle,US,
www.%s.facebook.com,779,Facebook,US,NA
github.com,760,unknown,NA,NA
s3.amazonaws.com,756,Amazon Web Services,US,Amazon
www.adobe.com,687,Adobe,US,NA
dh8vjmvwgc27o.cloudfront.net,679,Amazon Web Services,US,Amazon
airdownload2.adobe.com,676,Adobe,US,NA
s3-us-west-1.amazonaws.com,676,Amazon Web Services,US,Amazon
lol.vungle.com,669,Vungle,US,
gamespace.adobe.com,648,Adobe,US,NA
api.facebook.com,615,Facebook,US,NA
xmlpull.org,597,unknown,NA,NA
proton.flurry.com,562,Flurry,US,Yahoo
NA,488,unknown,NA,NA
www.chartboost.com,457,Chartboost,,
code.google.com,454,Google,US,Alphabet
i.w.inmobi.com,452,Inmobi,SG,
settings.crashlytics.com,441,unknown,NA,NA
e.crashlytics.com,440,unknown,NA,NA
loopj.com,437,unknown,NA,NA
maps.googleapis.com,435,Google,US,Alphabet
developers.google.com,433,Google,US,Alphabet
fabric.io,430,unknown,NA,NA
www.coronalabs.com,405,unknown,NA,NA
cdn.kidoz.net,403,unknown,NA,NA
xml.apache.org,392,unknown,NA,NA
analytics.kidoz.net,379,unknown,NA,NA
m.google.com,375,Google,US,Alphabet
sdk-api.kidoz.net,373,unknown,NA,NA
www.supersonicads.com,371,Ironsource,US,
d28lrrc51wcjkk.cloudfront.net,364,Amazon Web Services,US,Amazon
sdkm.w.inmobi.com,362,Inmobi,SG,
kidoz.net,361,unknown,NA,NA
dock.inmobi.com,359,Inmobi,SG,
api.appsflyer.com,352,Appsflyer,US,
androidads23.adcolony.com,351,Adcolony,US,Opera
api.intercom.io,350,unknown,NA,NA
alog.umeng.com,335,unknown,NA,NA
ads.superawesome.tv,321,Superawesome,UK,
ads.staging.superawesome.tv,320,Superawesome,UK,
api.amplitude.com,313,unknown,NA,NA
schemas.microsoft.com,307,Microsoft,US,NA
a.applvn.com,306,unknown,NA,NA
d.applvn.com,306,unknown,NA,NA
rt.applvn.com,306,unknown,NA,NA
hostname,305,unknown,NA,NA
adc3-launch.adcolony.com,293,Adcolony,US,Opera
init.supersonicads.com,289,Ironsource,US,
outcome.supersonicads.com,288,Ironsource,US,
mobilelogs.supersonic.com,285,unknown,NA,NA
ads.heyzap.com,281,unknown,NA,NA
docs.coronalabs.com,276,unknown,NA,NA
log.umsns.com,276,unknown,NA,NA
wd.adcolony.com,276,Adcolony,US,Opera
accounts.kidoz.net,259,unknown,NA,NA
amazon-adsystem.com,259,Amazon Marketing Services,US,Amazon
api.twitter.com,256,Twitter,US,NA
mobilecrashreporting.googleapis.com,256,Google,US,Alphabet
ssl.gstatic.com,246,Google,US,Alphabet
i.l.inmobicdn.net,244,Inmobi,SG,
med.heyzap.com,242,unknown,NA,NA
chartboo.st,240,unknown,NA,NA
iap.samsungapps.com,239,unknown,NA,NA
www.youtube.com,235,YouTube,US,Google
mads.amazon-adsystem.com,232,Amazon Marketing Services,US,Amazon
pubads.g.doubleclick.net,226,DoubleClick,US,Google
www.googleadservices.com,226,Google,US,Alphabet
app.adjust.com,224,unknown,NA,NA
