super_genre,company,n,pctOfApps,country,leaf_parent
Education,Google,67443,7.03,US,Alphabet
Education,Doubleclick,41679,4.34,US,Alphabet
Education,Facebook,29932,3.12,US,Facebook
Education,Google Analytics,26407,2.75,US,Alphabet
Education,Twitter,23363,2.44,US,Twitter
Education,Google Tag Manager,22469,2.34,US,Alphabet
Education,Microsoft,15806,1.65,US,Microsoft
Education,Yahoo,15376,1.6,US,Verizon
Education,Linkedin,15315,1.6,US,Linkedin
Education,Youtube,9873,1.03,US,Alphabet
Education,Admob,9505,0.99,US,Alphabet
Education,Amazon Web Services,6889,0.72,US,Amazon
Education,Amazon,5138,0.54,US,Amazon
Education,Flurry,2790,0.29,US,Oath
Education,Adobe,2452,0.26,US,Adobe
Education,Yandex,1818,0.19,RU,Yandex
Education,Inmobi,1236,0.13,SG,Inmobi
Education,Flickr,1219,0.13,US,Oath
Education,Chartboost,1195,0.12,,Chartboost
Education,Adcolony,1088,0.11,US,Opera
Education,Akamai,1079,0.11,US,Akamai
Education,Mopub,1071,0.11,US,Twitter
Education,Applovin,1010,0.11,US,Applovin
Education,Cloudflare,1003,0.1,US,Cloudflare
Education,Baidu,894,0.09,CN,Baidu
Education,Alibaba,835,0.09,CN,Alibaba
Education,Disqus,826,0.09,US,Disqus
Education,Oracle,800,0.08,US,Oracle
Education,Urbanairship,797,0.08,US,Urbanairship
Education,Tumblr,781,0.08,US,Oath
Education,Amazon Marketing Services,752,0.08,US,Amazon
Education,Apple,707,0.07,US,Apple
Education,Vimeo,658,0.07,US,IAC
Education,Appnext,629,0.07,UK,Appnext
Education,Revmob,607,0.06,DE,Revmob
Education,New Relic,595,0.06,US,New Relic
Education,Mapbox,570,0.06,US,Mapbox
Education,Appsflyer,567,0.06,US,Appsflyer
Education,Applifier,458,0.05,FI,Unity Technologies
Education,Blogger,420,0.04,US,Alphabet
Education,Millennialmedia,418,0.04,,Millennialmedia
Education,Adbuddiz,354,0.04,FR,Adbuddiz
Education,Tencent,289,0.03,CN,Tencent
Education,Localytics,282,0.03,UK,Localytics
Education,Smaato,279,0.03,US,Spearhead Integrated Marketing Communication 
Education,Daum,278,0.03,KR,Daum
Education,Mobfox,269,0.03,AT,Mobfox
Education,Wordpress,259,0.03,US,Automattic
Education,Pinterest,236,0.02,US,Pinterest
Education,Smart Adserver,236,0.02,UK,Smart Adserver
Education,Mail.ru,218,0.02,RU,Mail.ru
Education,Smart Ad Server,218,0.02,US,Smart Ad Server
Education,Appodeal,213,0.02,US,Appodeal
Education,Foursquare,204,0.02,US,Foursquare
Education,Drawbridge,200,0.02,US,Drawbridge
Education,Vungle,185,0.02,US,Vungle
Education,Liverail,176,0.02,US,Facebook
Education,Longtail Ad Solutions,174,0.02,US,Longtail Ad Solutions
Education,Moat,168,0.02,US,Moat
Education,Netease,157,0.02,CN,Netease
Education,Pubnative,157,0.02,DE,Pubnative
Education,Weibo,153,0.02,CN,Sina
Education,Fyber,151,0.02,US,RNTS Media
Education,Optimizely,149,0.02,US,Optimizely
Education,Branch,148,0.02,US,Branch
Education,Rubicon Project,139,0.01,US,Rubicon Project
Education,Wikimedia Foundation,132,0.01,US,Wikimedia Foundation
Education,Tapjoy,112,0.01,US,Tapjoy
Education,Bing,105,0.01,US,Microsoft
Education,I-Mobile,100,0.01,JP,I-Mobile
Education,Sina,99,0.01,CN,Sina
Education,Dictionary.com,89,0.01,US,IAC
Education,Bugsnag,75,0.01,US,Bugsnag
Education,Nexage,72,0.01,US,Nexage
Education,Integral Ad Science,71,0.01,US,Integral Ad Science
Education,Mcro,69,0.01,US,Mcro
Education,Tune,69,0.01,US,Tune
Education,Sohu,65,0.01,CN,Sohu
Education,Brightcove,59,0.01,US,Brightcove
Education,Openx,54,0.01,US,Openx
Education,Forensiq,53,0.01,US,Impact Radius
Education,Scorecardresearch,52,0.01,US,comScore
Education,Mocomplex,51,0.01,KR,Mocomplex
Education,Cheetahmobile,45,0,CN,Cheetahmobile
Education,Aol,44,0,US,Verizon
Education,Ren Ren,37,0,CN,China InterActive
Education,Adstir,29,0,JP,Adstir
Education,Appboy,29,0,US,Appboy
Education,Jquery Foundation,27,0,US,Jquery Foundation
Education,Apsalar,26,0,US,Apsalar
Education,Samsung,25,0,KR,Samsung
Education,Ironsource,22,0,US,Ironsource
Education,Gravatar,20,0,US,Automattic
Education,Superawesome,20,0,UK,Superawesome
Education,Webtrends,20,0,US,NetIQ
Education,Webtrends,20,0,US,NetIQ
Education,Voicefive,19,0,US,comScore
Education,Youku Tudou,19,0,CN,Youku Tudou
Education,International Business Machines,18,0,US,International Business Machines
Education,Blinkx,17,0,US,Blinkx
Education,Mozilla,16,0,US,Mozilla
Education,Tnkfactory,14,0,KR,Tnkfactory
Education,About.com,13,0,US,IAC
Education,Presage,13,0,US,Presage
Education,Adchina,12,0,CN,Adchina
Education,Igaworks,12,0,KR,Igaworks
Education,Mailchimp,12,0,US,Mailchimp
Education,Swrve,11,0,US,Swrve
Education,Weather Underground,11,0,US,International Business Machines
Education,Mediaav,9,0,CN,Mediaav
Education,Stackpath,9,0,US,Stackpath
Education,Jumptap,8,0,,Jumptap
Education,Tapsense,8,0,US,Tapsense
Education,The Weather Company,8,0,US,International Business Machines
Education,Ask.com,6,0,US,IAC
Education,Quantcast,6,0,US,Quantcast
Education,Addthis,5,0,US,Oracle
Education,Nativo,5,0,US,Nativo
Education,Nativo,5,0,US,Nativo
Education,360,4,0,CN,360
Education,Admarvel,4,0,US,Opera 
Education,Hyprmx,4,0,US,Hyprmx
Education,Sumo Logic,4,0,US,Sumo Logic
Education,Appnexus,3,0,US,Appnexus
Education,Infonline,3,0,DE,Infonline
Education,Playhaven,3,0,US,Science
Education,Qualtrics,3,0,US,Qualtrics
Education,Radium One,3,0,US,RhythmOne
Education,Taboola,3,0,US,Taboola
Education,Webklipper,3,0,IN,Webklipper
Education,Aerserv,2,0,US,Aerserv
Education,Etracker,2,0,DE,Etracker
Education,Farlex,2,0,US,Farlex
Education,Gemius,2,0,PL,Gemius
Education,Gigya,2,0,US,Gigya
Education,Iresearch Consulting Group,2,0,CN,Iresearch Consulting Group
Education,Jd.com,2,0,CN,Jd.com
Education,Viglink,2,0,US,Viglink
Education,Whos.amung.us,2,0,CA,Whos.amung.us
Education,Adform,1,0,DK,Adform
Education,Adsnative,1,0,US,Adsnative
Education,Alexa,1,0,US,Amazon
Education,Alphabet,1,0,US,Alphabet
Education,Answers Corporation,1,0,US,AFCV Holdings
Education,Criteo,1,0,FR,Criteo
Education,Ebix,1,0,US,Ebix
Education,Exoclick,1,0,ES,Exoclick
Education,Govdelivery,1,0,US,Actua
Education,Hubspot,1,0,US,Hubspot
Education,Improve Digital,1,0,NL,Improve Digital
Education,Krux Digital,1,0,US,Krux Digital
Education,Leanplum,1,0,US,Leanplum
Education,Liftoff,1,0,US,Liftoff
Education,Loopme,1,0,UK,Loopme
Education,Medialytics,1,0,,Medialytics
Education,Medscape,1,0,US,Medscape
Education,Mologiq,1,0,,Mologiq
Education,Nativex,1,0,US,Nativex
Education,Opt,1,0,JP,Opt
Education,Outbrain,1,0,US,Outbrain
Education,Pc Group,1,0,CN,Pc Group
Education,Readspeaker,1,0,NL,Readspeaker
Education,Tradedoubler,1,0,SE,Tradedoubler
Education,Truste,1,0,US,Truste
Education,Weather.com.cn,1,0,CN,Weather.com.cn
Education,Zedo,1,0,US,Zedo
