leaf_parent,pctOfApps.x,company,pctOfApps.y,country
Alphabet,0.89511526700318,Google,0.8894633080439706,US
Alphabet,0.89511526700318,Doubleclick,0.5806930058533787,US
Alphabet,0.89511526700318,Google Analytics,0.38854471212241437,US
Alphabet,0.89511526700318,Google Tag Manager,0.3471621184469931,US
Alphabet,0.89511526700318,Admob,0.14233659063581486,US
Alphabet,0.89511526700318,Youtube,0.10270573802010535,US
Alphabet,0.89511526700318,Blogger,0.0042053992687854395,US
Alphabet,0.89511526700318,Alphabet,1.2207254771510709e-5,US
Facebook,0.43550602122841603,Facebook,0.4354632958367158,US
Facebook,0.43550602122841603,Liverail,0.012213358398896465,US
Facebook,0.43550602122841603,Lifestreet,6.103627385755354e-5,US
Twitter,0.29387134774196305,Twitter,0.2926078968731117,US
Twitter,0.29387134774196305,Mopub,0.02605638530978961,US
Microsoft,0.20442268840371833,Microsoft,0.20396491634978667,US
Microsoft,0.20442268840371833,Bing,5.920518564182693e-4,US
Verizon,0.18420137087471083,Yahoo,0.18413423097346754,US
Verizon,0.18420137087471083,Aol,3.479067609880552e-4,US
Verizon,0.18420137087471083,Verizon,6.103627385755354e-6,US
Linkedin,0.18058802346234368,Linkedin,0.18058802346234368,US
Amazon,0.15401893345215062,Amazon Web Services,0.10904740687390516,US
Amazon,0.15401893345215062,Amazon,0.05194186905277807,US
Amazon,0.15401893345215062,Amazon Marketing Services,0.017151192953972546,US
Oath,0.08558506320306158,Flurry,0.0664685022308758,US
Oath,0.08558506320306158,Flickr,0.018817483230283757,US
Oath,0.08558506320306158,Tumblr,0.010809524100172732,US
Appsflyer,0.03781197165475442,Appsflyer,0.03781197165475442,US
Chartboost,0.0306646239860349,Chartboost,0.0306646239860349,
Adobe,0.02722217814046888,Adobe,0.02722217814046888,US
Applovin,0.026147939720575938,Applovin,0.026147939720575938,US
Cloudflare,0.025677960411872775,Cloudflare,0.025677960411872775,US
Cheetahmobile,0.022729908384552938,Cheetahmobile,0.022729908384552938,CN
Yandex,0.02145425026093007,Yandex,0.02145425026093007,RU
Unity Technologies,0.020172488509921448,Applifier,0.020172488509921448,FI
Revmob,0.019177597246043322,Revmob,0.019177597246043322,DE
Appnext,0.018542819997924766,Appnext,0.018542819997924766,UK
Opera,0.01780428108424837,Adcolony,0.01780428108424837,US
Baidu,0.01760286138051844,Baidu,0.01760286138051844,CN
Akamai,0.017547928734046644,Akamai,0.017535721479275134,US
Akamai,0.017547928734046644,Soasta,1.2207254771510709e-5,US
Alibaba,0.017517410597117866,Alibaba,0.017517410597117866,CN
