leaf_parent,pctOfApps.x,company,pctOfApps.y,country
Alphabet,0.9473571022596353,Google,0.9441466074747692,US
Alphabet,0.9473571022596353,Doubleclick,0.7894437702576076,US
Alphabet,0.9473571022596353,Google Analytics,0.39899230402924774,US
Alphabet,0.9473571022596353,Google Tag Manager,0.32109556214381174,US
Alphabet,0.9473571022596353,Admob,0.13493294827877542,US
Alphabet,0.9473571022596353,Youtube,0.08983240909998617,US
Alphabet,0.9473571022596353,Blogger,0.005069202291893885,US
Alphabet,0.9473571022596353,Alphabet,1.5361219066345106e-5,US
Facebook,0.5209603834160279,Facebook,0.5209450221969616,US
Facebook,0.5209603834160279,Liverail,0.0219665432648735,US
Facebook,0.5209603834160279,Lifestreet,4.608365719903532e-5,US
Amazon,0.30180187099648226,Amazon,0.20137022074071798,US
Amazon,0.30180187099648226,Amazon Web Services,0.10954085316210695,US
Amazon,0.30180187099648226,Amazon Marketing Services,0.006805020046390882,US
Twitter,0.3007880305381035,Twitter,0.29998924714665354,US
Twitter,0.3007880305381035,Mopub,0.009093841687276302,US
Microsoft,0.19344383170248391,Microsoft,0.19305980122582528,US
Microsoft,0.19344383170248391,Bing,5.990875435874591e-4,US
Verizon,0.16049401680517367,Yahoo,0.16021751486197944,US
Verizon,0.16049401680517367,Aol,2.91863162260557e-4,US
Linkedin,0.15600854083780089,Linkedin,0.15600854083780089,US
Yandex,0.0547627459715203,Yandex,0.0547627459715203,RU
Oracle,0.0505384107282754,Oracle,0.0502004639088158,US
Oracle,0.0505384107282754,Blue Kai,3.379468194595923e-4,US
Alibaba,0.04878723175471206,Alibaba,0.04878723175471206,CN
Baidu,0.047911642267930384,Baidu,0.047911642267930384,CN
Oath,0.034578104118342834,Flurry,0.027972779919814436,US
Oath,0.034578104118342834,Flickr,0.006267377379068803,US
Oath,0.034578104118342834,Tumblr,0.0056222061782823084,US
Revmob,0.031997419315196854,Revmob,0.031997419315196854,DE
Apple,0.020322892824774574,Apple,0.020322892824774574,US
Mobfox,0.018387379222415092,Mobfox,0.018387379222415092,AT
Chartboost,0.018310573127083365,Chartboost,0.018310573127083365,
Applovin,0.013041674987326994,Applovin,0.013041674987326994,US
Cloudflare,0.012795895482265472,Cloudflare,0.012795895482265472,US
Akamai,0.009769735326195487,Akamai,0.009769735326195487,US
Inmobi,0.009523955821133965,Inmobi,0.009523955821133965,SG
