leaf_parent,pctOfApps.x,company,pctOfApps.y,country
Alphabet,0.9171644914577071,Google,0.9086792740002283,US
Alphabet,0.9171644914577071,Doubleclick,0.6344507438834138,US
Alphabet,0.9171644914577071,Google Analytics,0.5255507781286861,US
Alphabet,0.9171644914577071,Google Tag Manager,0.45485331608386287,US
Alphabet,0.9171644914577071,Youtube,0.2769301015943077,US
Alphabet,0.9171644914577071,Admob,0.1162817244397093,US
Alphabet,0.9171644914577071,Blogger,0.006049998097484875,US
Facebook,0.5468589475286328,Facebook,0.5468589475286328,US
Facebook,0.5468589475286328,Liverail,0.007762261709980595,US
Facebook,0.5468589475286328,Lifestreet,1.1415090749971463e-4,US
Twitter,0.4692743807313268,Twitter,0.46858947528632855,US
Twitter,0.4692743807313268,Mopub,0.0804763897872988,US
Verizon,0.32662379665918345,Yahoo,0.3263193942391842,US
Verizon,0.32662379665918345,Aol,0.001255659982496861,US
Microsoft,0.31125147444922185,Microsoft,0.3098055629542255,US
Microsoft,0.31125147444922185,Bing,0.002092766637494768,US
Linkedin,0.28674707963928314,Linkedin,0.28674707963928314,US
Amazon,0.1999162893345002,Amazon,0.129599330314676,US
Amazon,0.1999162893345002,Amazon Web Services,0.10125185495224687,US
Amazon,0.1999162893345002,Amazon Marketing Services,0.009512575624976219,US
Amazon,0.1999162893345002,Alexa,3.8050302499904876e-5,US
Oath,0.1622464898595944,Flurry,0.14664586583463338,US
Oath,0.1622464898595944,Tumblr,0.07819337163730451,US
Oath,0.1622464898595944,Flickr,0.02176477302994559,US
Oath,0.1622464898595944,Gravity Insights,3.8050302499904876e-5,US
Disqus,0.09478330352726304,Disqus,0.09478330352726304,US
Mapbox,0.06575092271983562,Mapbox,0.06575092271983562,US
comScore,0.044290552109889275,Scorecardresearch,0.044290552109889275,US
comScore,0.044290552109889275,Voicefive,0.007914462919980214,US
Adobe,0.04002891822989993,Adobe,0.03987671701990031,US
Adobe,0.04002891822989993,Livefyre,1.1415090749971463e-4,US
Adobe,0.04002891822989993,Typekit,3.8050302499904876e-5,US
Inmobi,0.030858795327422854,Inmobi,0.030858795327422854,SG
IAC,0.027662569917430845,Vimeo,0.02739621779993151,US
IAC,0.027662569917430845,About.com,3.04402419999239e-4,US
IAC,0.027662569917430845,Ask.com,3.04402419999239e-4,US
IAC,0.027662569917430845,Dictionary.com,3.8050302499904876e-5,US
Akamai,0.02754841900993113,Akamai,0.02754841900993113,US
Smart Adserver,0.027434268102431415,Smart Adserver,0.027434268102431415,UK
Apple,0.02716791598493208,Apple,0.02716791598493208,US
