leaf_parent,pctOfApps.x,company,pctOfApps.y,country
Alphabet,0.8470921269369801,Google,0.8389578472429013,US
Alphabet,0.8470921269369801,Doubleclick,0.4828211400807397,US
Alphabet,0.8470921269369801,Google Analytics,0.33818324368537905,US
Alphabet,0.8470921269369801,Google Tag Manager,0.2829168818343215,US
Alphabet,0.8470921269369801,Admob,0.12440020052997207,US
Alphabet,0.8470921269369801,Youtube,0.08743408331040306,US
Alphabet,0.8470921269369801,Blogger,0.005540959754539252,US
Alphabet,0.8470921269369801,Alphabet,2.6385522640663107e-5,US
Facebook,0.3551152104999303,Facebook,0.3550925943376668,US
Facebook,0.3551152104999303,Liverail,0.0039050573508181397,US
Facebook,0.3551152104999303,Lifestreet,2.6385522640663107e-5,US
Twitter,0.2785708093193666,Twitter,0.27786593892882316,US
Twitter,0.2785708093193666,Mopub,0.012453966686392986,US
Microsoft,0.19190944488629724,Microsoft,0.19085025462029348,US
Microsoft,0.19190944488629724,Bing,0.001496436069763322,US
Linkedin,0.18925204582034474,Linkedin,0.18925204582034474,US
Verizon,0.18447626622238472,Yahoo,0.18443857261861235,US
Verizon,0.18447626622238472,Aol,0.0010554209056265241,US
Verizon,0.18447626622238472,Verizon,2.261616226342552e-5,US
Amazon,0.10953384320214703,Amazon Web Services,0.07827453759371572,US
Amazon,0.10953384320214703,Amazon,0.037305359653520394,US
Amazon,0.10953384320214703,Amazon Marketing Services,0.007700803250696389,US
Amazon,0.10953384320214703,Alexa,4.523232452685104e-5,US
Oath,0.06519108772432405,Flurry,0.04568464777211955,US
Oath,0.06519108772432405,Flickr,0.01934812681636053,US
Oath,0.06519108772432405,Tumblr,0.009781490178931537,US
Oath,0.06519108772432405,Brightroll,7.538720754475173e-6,US
Adobe,0.028194815621737146,Adobe,0.02818727690098267,US
Adobe,0.028194815621737146,Livefyre,7.538720754475173e-6,US
Yandex,0.017267439888125385,Yandex,0.017267439888125385,RU
Baidu,0.01685281024662925,Baidu,0.01685281024662925,CN
Alibaba,0.01439895664104758,Alibaba,0.01439895664104758,CN
New Relic,0.0124954296505426,New Relic,0.0124954296505426,US
IAC,0.011613399322269005,Vimeo,0.011055533986437842,US
IAC,0.011613399322269005,Ask.com,5.164023716815494e-4,US
IAC,0.011613399322269005,Dictionary.com,1.5077441508950346e-4,US
IAC,0.011613399322269005,About.com,1.8846801886187933e-5,US
Revmob,0.01141739258265265,Revmob,0.01141739258265265,DE
Inmobi,0.010735138354372646,Inmobi,0.010735138354372646,SG
Mapbox,0.01018481173929596,Mapbox,0.01018481173929596,US
Appsflyer,0.009954880756284467,Appsflyer,0.009954880756284467,US
Applovin,0.00907285042801087,Applovin,0.00907285042801087,US
Cloudflare,0.008835380724244902,Cloudflare,0.008835380724244902,US
Akamai,0.00863560462425131,Akamai,0.008594141660101697,US
Akamai,0.00863560462425131,Soasta,4.146296414961345e-5,US
Opera,0.008413212361994294,Adcolony,0.008413212361994294,US
Chartboost,0.008360441316712966,Chartboost,0.008360441316712966,
Tencent,0.00784026958465418,Tencent,0.00784026958465418,CN
Apple,0.007470872267684897,Apple,0.007470872267684897,US
Urbanairship,0.007109013671470088,Urbanairship,0.007109013671470088,US
Foursquare,0.006656690426201578,Foursquare,0.006656690426201578,US
Oracle,0.006453144965830748,Oracle,0.006317447992250195,US
Oracle,0.006453144965830748,Addthis,1.2438889244884035e-4,US
Oracle,0.006453144965830748,Blue Kai,1.5077441508950346e-5,US
Disqus,0.005759582656419032,Disqus,0.005759582656419032,US
Appnext,0.005597500160197816,Appnext,0.005597500160197816,UK
Sina,0.005035865463989416,Weibo,0.003889979909309189,CN
Sina,0.005035865463989416,Sina,0.00315495463574786,CN
Spearhead Integrated Marketing Communication ,0.003856055665914051,Smaato,0.003856055665914051,US
Millennialmedia,0.0034075017810227784,Millennialmedia,0.0034075017810227784,
Cheetahmobile,0.0032793435281967005,Cheetahmobile,0.0032793435281967005,CN
Smart Adserver,0.0031964175998974733,Smart Adserver,0.0031964175998974733,UK
Unity Technologies,0.003079567428203108,Applifier,0.003079567428203108,FI
Smart Ad Server,0.0029250236527363672,Smart Ad Server,0.0029250236527363672,US
Netease,0.0028345590036826652,Netease,0.0028345590036826652,CN
Mobfox,0.0028194815621737147,Mobfox,0.0028194815621737147,AT
Appodeal,0.0027591717961379133,Appodeal,0.0027591717961379133,US
Automattic,0.0027478637150062006,Wordpress,0.00217115157728885,US
Automattic,0.0027478637150062006,Gravatar,5.767121377173507e-4,US
Automattic,0.0027478637150062006,Automattic,1.130808113171276e-5,US
Sohu,0.0026913233093476367,Sohu,0.0026913233093476367,CN
Branch,0.0026724765074614487,Branch,0.0026724765074614487,US
Mail.ru,0.0026724765074614487,Mail.ru,0.0026724765074614487,RU
Pubnative,0.0025933199395394594,Pubnative,0.0025933199395394594,DE
Adbuddiz,0.0025480876150126086,Adbuddiz,0.0025480876150126086,FR
Nexage,0.0024915472093540447,Nexage,0.0024915472093540447,US
Pinterest,0.002435006803695481,Pinterest,0.002435006803695481,US
