super_genre,company,n,pctOfApps,country,leaf_parent
Communication & Social,Google,33305,3.47,US,Alphabet
Communication & Social,Facebook,17763,1.85,US,Facebook
Communication & Social,Doubleclick,17566,1.83,US,Alphabet
Communication & Social,Twitter,13246,1.38,US,Twitter
Communication & Social,Google Analytics,12858,1.34,US,Alphabet
Communication & Social,Google Tag Manager,10829,1.13,US,Alphabet
Communication & Social,Microsoft,8177,0.85,US,Microsoft
Communication & Social,Yahoo,7986,0.83,US,Verizon
Communication & Social,Linkedin,7881,0.82,US,Linkedin
Communication & Social,Youtube,5246,0.55,US,Alphabet
Communication & Social,Admob,4059,0.42,US,Alphabet
Communication & Social,Amazon Web Services,3732,0.39,US,Amazon
Communication & Social,Flurry,2242,0.23,US,Oath
Communication & Social,Amazon,1244,0.13,US,Amazon
Communication & Social,Baidu,1103,0.11,CN,Baidu
Communication & Social,Yandex,941,0.1,RU,Yandex
Communication & Social,Applovin,881,0.09,US,Applovin
Communication & Social,Inmobi,880,0.09,SG,Inmobi
Communication & Social,Cloudflare,854,0.09,US,Cloudflare
Communication & Social,Adobe,847,0.09,US,Adobe
Communication & Social,Tumblr,814,0.08,US,Oath
Communication & Social,Chartboost,798,0.08,,Chartboost
Communication & Social,Tencent,785,0.08,CN,Tencent
Communication & Social,Adcolony,751,0.08,US,Opera
Communication & Social,Akamai,717,0.07,US,Akamai
Communication & Social,Mopub,665,0.07,US,Twitter
Communication & Social,Amazon Marketing Services,633,0.07,US,Amazon
Communication & Social,Appsflyer,627,0.07,US,Appsflyer
Communication & Social,Appnext,595,0.06,UK,Appnext
Communication & Social,Foursquare,589,0.06,US,Foursquare
Communication & Social,Flickr,569,0.06,US,Oath
Communication & Social,Vimeo,555,0.06,US,IAC
Communication & Social,Disqus,427,0.04,US,Disqus
Communication & Social,Alibaba,386,0.04,CN,Alibaba
Communication & Social,Pinterest,358,0.04,US,Pinterest
Communication & Social,Apple,326,0.03,US,Apple
Communication & Social,Bing,325,0.03,US,Microsoft
Communication & Social,Oracle,305,0.03,US,Oracle
Communication & Social,Mapbox,273,0.03,US,Mapbox
Communication & Social,Liverail,247,0.03,US,Facebook
Communication & Social,Drawbridge,230,0.02,US,Drawbridge
Communication & Social,Weibo,220,0.02,CN,Sina
Communication & Social,Ask.com,219,0.02,US,IAC
Communication & Social,Blogger,211,0.02,US,Alphabet
Communication & Social,Smaato,201,0.02,US,Spearhead Integrated Marketing Communication 
Communication & Social,Smart Adserver,200,0.02,UK,Smart Adserver
Communication & Social,New Relic,191,0.02,US,New Relic
Communication & Social,Applifier,187,0.02,FI,Unity Technologies
Communication & Social,Millennialmedia,182,0.02,,Millennialmedia
Communication & Social,Branch,179,0.02,US,Branch
Communication & Social,Smart Ad Server,178,0.02,US,Smart Ad Server
Communication & Social,Revmob,173,0.02,DE,Revmob
Communication & Social,Mobfox,170,0.02,AT,Mobfox
Communication & Social,Pubnative,163,0.02,DE,Pubnative
Communication & Social,Appodeal,159,0.02,US,Appodeal
Communication & Social,Sina,144,0.02,CN,Sina
Communication & Social,Daum,143,0.01,KR,Daum
Communication & Social,Wordpress,134,0.01,US,Automattic
Communication & Social,Localytics,130,0.01,UK,Localytics
Communication & Social,Urbanairship,130,0.01,US,Urbanairship
Communication & Social,Mail.ru,127,0.01,RU,Mail.ru
Communication & Social,Tapjoy,125,0.01,US,Tapjoy
Communication & Social,Netease,116,0.01,CN,Netease
Communication & Social,Rubicon Project,115,0.01,US,Rubicon Project
Communication & Social,Tnkfactory,105,0.01,KR,Tnkfactory
