super_genre,company,n,pctOfApps,country,leaf_parent
Games & Entertainment,Google,262051,27.31,US,Alphabet
Games & Entertainment,Doubleclick,210004,21.89,US,Alphabet
Games & Entertainment,Google Analytics,133760,13.94,US,Alphabet
Games & Entertainment,Facebook,133757,13.94,US,Facebook
Games & Entertainment,Google Tag Manager,116302,12.12,US,Alphabet
Games & Entertainment,Twitter,99181,10.34,US,Twitter
Games & Entertainment,Microsoft,75949,7.92,US,Microsoft
Games & Entertainment,Yahoo,72125,7.52,US,Verizon
Games & Entertainment,Linkedin,71039,7.4,US,Linkedin
Games & Entertainment,Admob,55233,5.76,US,Alphabet
Games & Entertainment,Amazon Web Services,46815,4.88,US,Amazon
Games & Entertainment,Chartboost,40292,4.2,,Chartboost
Games & Entertainment,Amazon,32180,3.35,US,Amazon
Games & Entertainment,Applovin,26800,2.79,US,Applovin
Games & Entertainment,Cloudflare,26067,2.72,US,Cloudflare
Games & Entertainment,Applifier,25800,2.69,FI,Unity Technologies
Games & Entertainment,Flurry,25565,2.66,US,Oath
Games & Entertainment,Youtube,22032,2.3,US,Alphabet
Games & Entertainment,Adcolony,21104,2.2,US,Opera
Games & Entertainment,Vungle,13836,1.44,US,Vungle
Games & Entertainment,Mopub,11753,1.23,US,Twitter
Games & Entertainment,Adobe,11229,1.17,US,Adobe
Games & Entertainment,Inmobi,9931,1.04,SG,Inmobi
Games & Entertainment,Amazon Marketing Services,9471,0.99,US,Amazon
Games & Entertainment,Revmob,8375,0.87,DE,Revmob
Games & Entertainment,Akamai,7220,0.75,US,Akamai
Games & Entertainment,Tapjoy,6577,0.69,US,Tapjoy
Games & Entertainment,Yandex,6557,0.68,RU,Yandex
Games & Entertainment,Alibaba,5921,0.62,CN,Alibaba
Games & Entertainment,Baidu,5895,0.61,CN,Baidu
Games & Entertainment,Appsflyer,5482,0.57,US,Appsflyer
Games & Entertainment,Appodeal,4949,0.52,US,Appodeal
Games & Entertainment,Ironsource,4815,0.5,US,Ironsource
Games & Entertainment,Pubnative,4588,0.48,DE,Pubnative
Games & Entertainment,Liverail,4149,0.43,US,Facebook
Games & Entertainment,Moat,3936,0.41,US,Moat
Games & Entertainment,Rubicon Project,3923,0.41,US,Rubicon Project
Games & Entertainment,Millennialmedia,3761,0.39,,Millennialmedia
Games & Entertainment,Tencent,3747,0.39,CN,Tencent
Games & Entertainment,Mail.ru,3563,0.37,RU,Mail.ru
Games & Entertainment,Appnext,3207,0.33,UK,Appnext
Games & Entertainment,Tumblr,3154,0.33,US,Oath
Games & Entertainment,Apple,2955,0.31,US,Apple
Games & Entertainment,Cheetahmobile,2725,0.28,CN,Cheetahmobile
Games & Entertainment,Adbuddiz,2642,0.28,FR,Adbuddiz
Games & Entertainment,Vimeo,2635,0.27,US,IAC
Games & Entertainment,Foursquare,1942,0.2,US,Foursquare
Games & Entertainment,Flickr,1850,0.19,US,Oath
Games & Entertainment,Fyber,1802,0.19,US,RNTS Media
Games & Entertainment,Disqus,1704,0.18,US,Disqus
Games & Entertainment,Sina,1641,0.17,CN,Sina
Games & Entertainment,Netease,1633,0.17,CN,Netease
Games & Entertainment,Sohu,1611,0.17,CN,Sohu
Games & Entertainment,Scorecardresearch,1209,0.13,US,comScore
Games & Entertainment,Oracle,1192,0.12,US,Oracle
Games & Entertainment,Smaato,1104,0.12,US,Spearhead Integrated Marketing Communication 
Games & Entertainment,Mobfox,1097,0.11,AT,Mobfox
Games & Entertainment,Drawbridge,1017,0.11,US,Drawbridge
Games & Entertainment,Mapbox,1014,0.11,US,Mapbox
Games & Entertainment,I-Mobile,981,0.1,JP,I-Mobile
Games & Entertainment,Urbanairship,975,0.1,US,Urbanairship
Games & Entertainment,Integral Ad Science,891,0.09,US,Integral Ad Science
Games & Entertainment,Quantcast,866,0.09,US,Quantcast
Games & Entertainment,Nexage,809,0.08,US,Nexage
Games & Entertainment,Blogger,777,0.08,US,Alphabet
Games & Entertainment,Smart Adserver,754,0.08,UK,Smart Adserver
Games & Entertainment,Weibo,642,0.07,CN,Sina
Games & Entertainment,New Relic,626,0.07,US,New Relic
Games & Entertainment,Smart Ad Server,609,0.06,US,Smart Ad Server
Games & Entertainment,Pinterest,568,0.06,US,Pinterest
Games & Entertainment,Igaworks,561,0.06,KR,Igaworks
Games & Entertainment,Daum,556,0.06,KR,Daum
Games & Entertainment,Wordpress,553,0.06,US,Automattic
Games & Entertainment,Presage,548,0.06,US,Presage
Games & Entertainment,Localytics,532,0.06,UK,Localytics
Games & Entertainment,Hyprmx,459,0.05,US,Hyprmx
Games & Entertainment,Tune,440,0.05,US,Tune
Games & Entertainment,Branch,420,0.04,US,Branch
Games & Entertainment,Adstir,388,0.04,JP,Adstir
Games & Entertainment,Tnkfactory,340,0.04,KR,Tnkfactory
Games & Entertainment,Openx,331,0.03,US,Openx
Games & Entertainment,Superawesome,329,0.03,UK,Superawesome
Games & Entertainment,Forensiq,328,0.03,US,Impact Radius
Games & Entertainment,Aerserv,301,0.03,US,Aerserv
Games & Entertainment,Playhaven,268,0.03,US,Science
Games & Entertainment,Samsung,245,0.03,KR,Samsung
Games & Entertainment,Brightcove,223,0.02,US,Brightcove
Games & Entertainment,Ren Ren,223,0.02,CN,China InterActive
Games & Entertainment,Admarvel,221,0.02,US,Opera 
Games & Entertainment,Bugsnag,206,0.02,US,Bugsnag
Games & Entertainment,Appnexus,198,0.02,US,Appnexus
Games & Entertainment,Swrve,175,0.02,US,Swrve
Games & Entertainment,Apsalar,167,0.02,US,Apsalar
Games & Entertainment,Gigya,165,0.02,US,Gigya
Games & Entertainment,360,162,0.02,CN,360
Games & Entertainment,Wikimedia Foundation,157,0.02,US,Wikimedia Foundation
Games & Entertainment,Mocomplex,148,0.02,KR,Mocomplex
Games & Entertainment,Flksu,135,0.01,US,Noosphere
Games & Entertainment,Bing,129,0.01,US,Microsoft
Games & Entertainment,Voicefive,129,0.01,US,comScore
Games & Entertainment,Tapsense,127,0.01,US,Tapsense
Games & Entertainment,Mologiq,120,0.01,,Mologiq
Games & Entertainment,Appboy,111,0.01,US,Appboy
Games & Entertainment,Sumo Logic,109,0.01,US,Sumo Logic
