leaf_parent,pctOfApps.x,company,pctOfApps.y,country
Alphabet,0.9561120574058638,Google,0.9549523429855398,US
Alphabet,0.9561120574058638,Doubleclick,0.842967419273004,US
Alphabet,0.9561120574058638,Google Analytics,0.43536404160475484,US
Alphabet,0.9561120574058638,Admob,0.13829594462363642,NA
Alphabet,0.9561120574058638,Youtube,0.03272569129851774,US
Alphabet,0.9561120574058638,Blogger,0.01442394810277969,US
Alphabet,0.9561120574058638,Firebase,0.00119595549595912,NA
Facebook,0.4703366795926503,Facebook,0.46674881310477295,US
Facebook,0.4703366795926503,Instagram,0.024680172507520023,NA
Facebook,0.4703366795926503,Liverail,0.023484217011560903,NA
Facebook,0.4703366795926503,Liverail,0.023484217011560903,US
Twitter,0.2966332040734969,Twitter,0.2734751567426521,US
Twitter,0.2966332040734969,Crashlytics,0.033812923567571485,NA
Twitter,0.2966332040734969,Mopub,0.011089769144348205,NA
Microsoft,0.27441742470916536,Microsoft,0.26945239734715326,US
Microsoft,0.27441742470916536,Bitstadium,0.005218714891457979,NA
Microsoft,0.27441742470916536,Bing,5.436161345268727e-4,US
Verizon,0.26042836951400716,Yahoo,0.2247309100134092,US
Verizon,0.26042836951400716,Flurry,0.03395788787011198,NA
Verizon,0.26042836951400716,Flickr,0.010799840539267205,US
Verizon,0.26042836951400716,Tumblr,0.005798572101619976,US
Verizon,0.26042836951400716,Aol,3.624107563512485e-4,US
Verizon,0.26042836951400716,Verizon,1.449643025404994e-4,US
Verizon,0.26042836951400716,Intowow,3.624107563512485e-5,NA
App-Measurement,0.2477802341173486,App-Measurement,0.2477802341173486,NA
Paypal,0.22494835646721995,Paypal,0.22494835646721995,NA
LinkedIn,0.22201282934077485,Linkedin,0.22201282934077485,US
Amazon,0.20458087196027977,Amazon Web Services,0.18794621824375748,US
Amazon,0.20458087196027977,Amazon,0.024426484978074148,US
Applovin,0.04917913963686442,Applovin,0.04917913963686442,NA
Localytics,0.04917913963686442,Localytics,0.04917913963686442,NA
Cloudflare,0.04675098756931106,Cloudflare,0.04675098756931106,US
Ironsource,0.04334432645960932,Ironsource,0.04334432645960932,NA
Chartboost,0.0428731924763527,Chartboost,0.0428731924763527,NA
Alibaba,0.03856050447577284,Alibaba,0.021925850759250534,CN
Alibaba,0.03856050447577284,Umeng,0.017395716304859928,NA
Alibaba,0.03856050447577284,Hichina,0.0015583662523103686,CN
Unity Technologies,0.030841155365491247,Applifier,0.030841155365491247,NA
Opera,0.030768673214221,Adcolony,0.030768673214221,NA
startapp,0.026419744138006015,Startapp,0.026419744138006015,NA
Adobe,0.02203457398615591,Adobe,0.02203457398615591,US
Adobe,0.02203457398615591,Typekit,3.624107563512485e-5,US
Baidu,0.020657413112021166,Baidu,0.020657413112021166,CN
Revmob,0.01978762729677817,Revmob,0.01978762729677817,NA
Automattic,0.01674337694342768,Wordpress,0.01652593048961693,US
Automattic,0.01674337694342768,Gravatar,2.1744645381074912e-4,US
Unitytechnologies,0.0121045192621317,Unitytechnologies,0.0121045192621317,NA
Appnext,0.011633385278875077,Appnext,0.011633385278875077,NA
Appsflyer,0.010509911934186206,Appsflyer,0.010509911934186206,NA
Yandex,0.008770340303700214,Yandex,0.008770340303700214,RU
Heyzap,0.007864313412822092,Heyzap,0.007864313412822092,NA
Akamai,0.0075381437321059685,Akamai,0.0075381437321059685,US
Tencent,0.006777081143768347,Tencent,0.006777081143768347,CN
Inmobi,0.006740840068133222,Inmobi,0.006740840068133222,NA
Sina,0.005472402420903852,Weibo,0.0049287862863769795,CN
Sina,0.005472402420903852,Sina,0.0017758127061211176,CN
Limelight Networks,0.004675098756931105,Limelight Networks,0.004675098756931105,NA
Oracle,0.004457652303120356,Oracle,0.004348929076214982,US
Oracle,0.004457652303120356,Addthis,1.0872322690537456e-4,US
Cheetahmobile,0.004312688000579858,Cheetahmobile,0.004312688000579858,NA
Pubnative,0.004131482622404233,Pubnative,0.004131482622404233,NA
IAC,0.004095241546769108,Vimeo,0.0037690718660529842,US
IAC,0.004095241546769108,Ask.com,3.624107563512485e-4,US
Appodeal,0.004022759395498858,Appodeal,0.004022759395498858,NA
Rubicon Project,0.0036603486391476097,Rubicon Project,0.0036603486391476097,US
Apple,0.0035878664878773604,Apple,0.0035878664878773604,US
Mail.Ru,0.003479143260971986,Mail.ru,0.003479143260971986,NA
Vungle,0.0030080092777153627,Vungle,0.0030080092777153627,NA
Spearhead Integrated Marketing Communication ,0.002863044975174863,Smaato,0.002863044975174863,NA
Tapjoy,0.0028268038995397384,Tapjoy,0.0028268038995397384,NA
Mobfox,0.002718080672634364,Mobfox,0.002718080672634364,NA
Amplitude,0.0026818395969992388,Amplitude,0.0026818395969992388,NA
Millennialmedia,0.0023556699162831153,Millennialmedia,0.0023556699162831153,NA
Moat,0.0023556699162831153,Moat,0.0023556699162831153,US
