leaf_parent,pctOfApps.x,company,pctOfApps.y,country
Alphabet,0.8466584252087695,Google,0.8416630925650276,US
Alphabet,0.8466584252087695,Doubleclick,0.44317178393924866,US
Alphabet,0.8466584252087695,Google Analytics,0.32439387441027323,US
Alphabet,0.8466584252087695,Youtube,0.1323763150591619,US
Alphabet,0.8466584252087695,Admob,0.10240431919671014,NA
Alphabet,0.8466584252087695,Firebase,0.009284254610591115,NA
Alphabet,0.8466584252087695,Blogger,0.005323309029442187,US
Facebook,0.4523803516916013,Facebook,0.448217574488483,US
Facebook,0.4523803516916013,Instagram,0.042838761762999215,NA
Facebook,0.4523803516916013,Liverail,0.006231551328304362,NA
Facebook,0.4523803516916013,Liverail,0.006231551328304362,US
Facebook,0.4523803516916013,Lifestreet,7.568685823851452e-5,NA
Twitter,0.3799732573100891,Twitter,0.33418270807578776,US
Twitter,0.3799732573100891,Crashlytics,0.09256502762570326,NA
Twitter,0.3799732573100891,Mopub,0.016777253576204052,NA
Verizon,0.24784923177838888,Yahoo,0.20198299568584907,US
Verizon,0.24784923177838888,Flurry,0.05656331205691652,NA
Verizon,0.24784923177838888,Tumblr,0.020536367535383605,US
Verizon,0.24784923177838888,Flickr,0.014355274112571587,US
Verizon,0.24784923177838888,Aol,0.0016651108812473195,US
Verizon,0.24784923177838888,Verizon,8.073264878774882e-4,US
Microsoft,0.22441153467719555,Microsoft,0.2062971466054444,US
Microsoft,0.22441153467719555,Bitstadium,0.020511138582637433,NA
Microsoft,0.22441153467719555,Bing,0.008199409642505739,US
App-Measurement,0.22105608396195475,App-Measurement,0.22105608396195475,NA
Paypal,0.20157933244191034,Paypal,0.20157933244191034,NA
LinkedIn,0.19887983449806998,Linkedin,0.19887983449806998,US
Amazon,0.11925725963115272,Amazon Web Services,0.09415445164871206,US
Amazon,0.11925725963115272,Amazon,0.04299013547947625,US
Amazon,0.11925725963115272,Alexa,5.0457905492343014e-5,US
Baidu,0.02782753487902717,Baidu,0.02782753487902717,CN
Yandex,0.02374044453414739,Yandex,0.02374044453414739,RU
Applovin,0.022226707369377097,Applovin,0.022226707369377097,NA
Inmobi,0.022201478416630924,Inmobi,0.022201478416630924,NA
Cloudflare,0.021545525645230466,Cloudflare,0.021545525645230466,US
Adobe,0.021368922976007267,Adobe,0.021368922976007267,US
Chartboost,0.020132704291444863,Chartboost,0.020132704291444863,NA
Tencent,0.019804727905744633,Tencent,0.019804727905744633,CN
Opera,0.0189469435123748,Adcolony,0.0189469435123748,NA
Akamai,0.018114388071751142,Akamai,0.018114388071751142,US
IAC,0.017256603678381312,Vimeo,0.01405252667961753,US
IAC,0.017256603678381312,Ask.com,0.00552514065141156,US
IAC,0.017256603678381312,Iac,2.522895274617151e-4,US
IAC,0.017256603678381312,Tripadvisor,1.5137371647702905e-4,NA
IAC,0.017256603678381312,About.com,5.0457905492343014e-5,US
Alibaba,0.01660065090698085,Alibaba,0.009738375760022202,CN
Alibaba,0.01660065090698085,Umeng,0.008729217650175342,NA
Alibaba,0.01660065090698085,Hichina,8.830133461160027e-4,CN
Appsflyer,0.015818553371849533,Appsflyer,0.015818553371849533,NA
Appnext,0.015011226883972046,Appnext,0.015011226883972046,NA
