leaf_parent,pctOfApps.x,company,pctOfApps.y,country
Alphabet,0.9015112073217515,Google,0.8989799693100236,US
Alphabet,0.9015112073217515,Doubleclick,0.7193100235655177,US
Alphabet,0.9015112073217515,Google Analytics,0.4581575053433441,US
Alphabet,0.9015112073217515,Admob,0.18918520852742918,NA
Alphabet,0.9015112073217515,Youtube,0.07546445991121828,US
Alphabet,0.9015112073217515,Firebase,0.002681947717433003,NA
Alphabet,0.9015112073217515,Blogger,0.0026613963939277688,US
Facebook,0.4589007782101167,Facebook,0.4581951827697704,US
Facebook,0.4589007782101167,Liverail,0.01421124020386913,NA
Facebook,0.4589007782101167,Liverail,0.01421124020386913,US
Facebook,0.4589007782101167,Instagram,0.010833972707842384,NA
Facebook,0.4589007782101167,Lifestreet,7.535485285252371e-5,NA
Twitter,0.3581821669315504,Twitter,0.33971680276209787,US
Twitter,0.3581821669315504,Mopub,0.040256617526168686,NA
Twitter,0.3581821669315504,Crashlytics,0.03029265084671453,NA
Verizon,0.31428111470378695,Yahoo,0.2477462048555927,US
Verizon,0.31428111470378695,Flurry,0.08756576423521675,NA
Verizon,0.31428111470378695,Tumblr,0.010803145722584534,US
Verizon,0.31428111470378695,Flickr,0.0063366580807804026,US
Verizon,0.31428111470378695,Verizon,5.411848523044884e-4,US
Verizon,0.31428111470378695,Aol,1.6783580862607552e-4,US
Verizon,0.31428111470378695,Gravity Insights,3.4252205842056227e-6,US
Verizon,0.31428111470378695,Intowow,3.4252205842056227e-6,NA
Microsoft,0.26312544527867593,Microsoft,0.26014207814983287,US
Microsoft,0.26312544527867593,Bitstadium,0.00434317970077273,NA
Microsoft,0.26312544527867593,Bing,4.4185345536252533e-4,US
Paypal,0.24346467912533568,Paypal,0.24346467912533568,NA
LinkedIn,0.24333109552255167,Linkedin,0.24333109552255167,US
Amazon,0.24241998684715296,Amazon Web Services,0.16035170164958623,US
Amazon,0.24241998684715296,Amazon,0.12947676330355676,US
App-Measurement,0.18503384117937194,App-Measurement,0.18503384117937194,NA
Chartboost,0.13800898777881296,Chartboost,0.13800898777881296,NA
Applovin,0.0917959116567107,Applovin,0.0917959116567107,NA
Cloudflare,0.08928522496848797,Cloudflare,0.08928522496848797,US
Unity Technologies,0.08837069107250507,Applifier,0.08837069107250507,NA
Opera,0.07228585520907546,Adcolony,0.07228585520907546,NA
Unitytechnologies,0.07023414807913629,Unitytechnologies,0.07023414807913629,NA
Heyzap,0.050891927440127147,Heyzap,0.050891927440127147,NA
Vungle,0.047391352003069,Vungle,0.047391352003069,NA
Adobe,0.03846180194004494,Adobe,0.03846180194004494,US
Inmobi,0.03401586562174604,Inmobi,0.03401586562174604,NA
Alibaba,0.03365621746040445,Alibaba,0.02028073107908149,CN
Alibaba,0.03365621746040445,Umeng,0.014214665424453335,NA
Alibaba,0.03365621746040445,Hichina,7.80950293198882e-4,CN
Revmob,0.028686222392722092,Revmob,0.028686222392722092,NA
Akamai,0.02521304872033759,Akamai,0.02521304872033759,US
Tapjoy,0.022527675782320383,Tapjoy,0.022527675782320383,NA
Yandex,0.022459171370636268,Yandex,0.022459171370636268,RU
Baidu,0.020191675343892147,Baidu,0.020191675343892147,CN
Appsflyer,0.018777059242615225,Appsflyer,0.018777059242615225,NA
Appodeal,0.016951416671233628,Appodeal,0.016951416671233628,NA
Ironsource,0.016492437112950075,Ironsource,0.016492437112950075,NA
Pubnative,0.0157149120403354,Pubnative,0.0157149120403354,NA
Moat,0.013481668219433331,Moat,0.013481668219433331,US
Rubicon Project,0.013437140351838659,Rubicon Project,0.013437140351838659,US
Millennialmedia,0.012882254617197348,Millennialmedia,0.012882254617197348,NA
Tencent,0.012834301529018469,Tencent,0.012834301529018469,CN
Mail.Ru,0.012204060941524634,Mail.ru,0.012204060941524634,NA
Appnext,0.010984682413547433,Appnext,0.010984682413547433,NA
Amplitude,0.010645585575711075,Amplitude,0.010645585575711075,NA
startapp,0.010364717487806215,Startapp,0.010364717487806215,NA
Apple,0.00981325697374911,Apple,0.00981325697374911,US
Cheetahmobile,0.009333726091960322,Cheetahmobile,0.009333726091960322,NA
IAC,0.009193292048007892,Vimeo,0.00903915712171864,US
IAC,0.009193292048007892,Ask.com,7.535485285252371e-5,US
IAC,0.009193292048007892,Tripadvisor,4.795308817887872e-5,NA
IAC,0.009193292048007892,Dictionary.com,3.0826985257850606e-5,US
IAC,0.009193292048007892,About.com,2.0551323505233737e-5,US
IAC,0.009193292048007892,Iac,1.7126102921028113e-5,US
Adbuddiz,0.009049432783471256,Adbuddiz,0.009049432783471256,NA
Oracle,0.007751274182057325,Oracle,0.007638241902778539,US
Oracle,0.007751274182057325,Bluekai,7.878007343672933e-5,NA
Oracle,0.007751274182057325,Addthis,3.4252205842056226e-5,US
Sina,0.007234065873842275,Sina,0.005620786978681427,CN
Sina,0.007234065873842275,Weibo,0.00219899161506001,CN
Pushwoosh,0.006990875212363676,Pushwoosh,0.006990875212363676,NA
Dropbox,0.006960048227105825,Dropbox,0.006960048227105825,NA
Foursquare,0.0066517783745273194,Foursquare,0.0066517783745273194,NA
RNTS Media,0.006172247492738533,Fyber,0.006172247492738533,NA
Adjust,0.006168822272154327,Adjust,0.006168822272154327,NA
Limelight Networks,0.005966734257686195,Limelight Networks,0.005966734257686195,NA
Disqus,0.005836575875486381,Disqus,0.005836575875486381,US
NetEase,0.005593385214007782,Netease,0.005593385214007782,CN
Sohu,0.005518030361155259,Sohu,0.005518030361155259,CN
