leaf_parent,pctOfApps.x,company,pctOfApps.y,country
Alphabet,0.8951518887674945,Google,0.8912272563584538,US
Alphabet,0.8951518887674945,Doubleclick,0.5806930058533787,US
Alphabet,0.8951518887674945,Google Analytics,0.38854471212241437,US
Alphabet,0.8951518887674945,Admob,0.14233659063581486,NA
Alphabet,0.8951518887674945,Youtube,0.10270573802010535,US
Alphabet,0.8951518887674945,Blogger,0.0042053992687854395,US
Alphabet,0.8951518887674945,Firebase,0.002459761836459408,NA
Alphabet,0.8951518887674945,Alphabet,1.2207254771510709e-5,US
Facebook,0.4364764979827511,Facebook,0.43551822848318755,US
Facebook,0.4364764979827511,Instagram,0.02873587773213621,NA
Facebook,0.4364764979827511,Liverail,0.012213358398896465,NA
Facebook,0.4364764979827511,Liverail,0.012213358398896465,US
Facebook,0.4364764979827511,Lifestreet,6.103627385755354e-5,NA
Twitter,0.3303588322540086,Twitter,0.2926078968731117,US
Twitter,0.3303588322540086,Crashlytics,0.05958971416712953,NA
Twitter,0.3303588322540086,Mopub,0.02605638530978961,NA
Verizon,0.24614708521274192,Yahoo,0.18509250047303114,US
Verizon,0.24614708521274192,Flurry,0.0664685022308758,NA
Verizon,0.24614708521274192,Flickr,0.018817483230283757,US
Verizon,0.24614708521274192,Tumblr,0.010809524100172732,US
Verizon,0.24614708521274192,Verizon,0.0016113576298394136,US
Verizon,0.24614708521274192,Aol,3.479067609880552e-4,US
Verizon,0.24614708521274192,Intowow,3.051813692877677e-5,NA
Microsoft,0.2097572587388685,Microsoft,0.20396491634978667,US
Microsoft,0.2097572587388685,Bitstadium,0.007220591197348585,NA
Microsoft,0.2097572587388685,Bing,5.920518564182693e-4,US
Paypal,0.19882566209098068,Paypal,0.19882566209098068,NA
LinkedIn,0.18060023071711517,Linkedin,0.18060023071711517,US
App-Measurement,0.1711090901322656,App-Measurement,0.1711090901322656,NA
Amazon,0.15403114070692212,Amazon Web Services,0.10904740687390516,US
Amazon,0.15403114070692212,Amazon,0.06358148647741353,US
Appsflyer,0.03781197165475442,Appsflyer,0.03781197165475442,NA
Chartboost,0.0306646239860349,Chartboost,0.0306646239860349,NA
Alibaba,0.02868094508566441,Alibaba,0.017517410597117866,CN
Alibaba,0.02868094508566441,Umeng,0.01196921330346625,NA
Alibaba,0.02868094508566441,Hichina,0.0014587669451955297,CN
Adobe,0.02722217814046888,Adobe,0.02722217814046888,US
Applovin,0.026147939720575938,Applovin,0.026147939720575938,NA
Cloudflare,0.025677960411872775,Cloudflare,0.025677960411872775,US
Cheetahmobile,0.022729908384552938,Cheetahmobile,0.022729908384552938,NA
Yandex,0.02145425026093007,Yandex,0.02145425026093007,RU
Unity Technologies,0.020172488509921448,Applifier,0.020172488509921448,NA
Revmob,0.019177597246043322,Revmob,0.019177597246043322,NA
Appnext,0.018542819997924766,Appnext,0.018542819997924766,NA
Opera,0.01780428108424837,Adcolony,0.01780428108424837,NA
Baidu,0.01760286138051844,Baidu,0.01760286138051844,CN
Akamai,0.017584550498361176,Akamai,0.017584550498361176,US
Inmobi,0.016876529721613555,Inmobi,0.016876529721613555,NA
New Relic,0.015802291301720613,New Relic,0.015802291301720613,US
Ironsource,0.013904063184750697,Ironsource,0.013904063184750697,NA
Disqus,0.013208249662774587,Disqus,0.013208249662774587,US
Apple,0.01317773152584581,Apple,0.01317773152584581,US
Appodeal,0.012793203000543223,Appodeal,0.012793203000543223,NA
Unitytechnologies,0.012408674475240635,Unitytechnologies,0.012408674475240635,NA
Pubnative,0.012353741828768838,Pubnative,0.012353741828768838,NA
Rubicon Project,0.01119405262547532,Rubicon Project,0.01119405262547532,US
Smart Ad Server,0.010565379004742519,Smart Ad Server,0.010565379004742519,US
Mixpanel,0.010028259794796048,Mixpanel,0.010028259794796048,NA
Mail.Ru,0.009924498129238206,Mail.ru,0.009924498129238206,NA
startapp,0.009698663915965258,Startapp,0.009698663915965258,NA
Limelight Networks,0.009521658721778353,Limelight Networks,0.009521658721778353,NA
Amplitude,0.009253099116805117,Amplitude,0.009253099116805117,NA
Spearhead Integrated Marketing Communication ,0.009240891862033607,Smaato,0.009240891862033607,NA
Tencent,0.008307036872013037,Tencent,0.008307036872013037,CN
IAC,0.007879782955010163,Vimeo,0.00756849795833664,US
IAC,0.007879782955010163,Tripadvisor,1.4648705725812852e-4,NA
IAC,0.007879782955010163,Ask.com,1.0376166555784103e-4,US
IAC,0.007879782955010163,About.com,6.71399012433089e-5,US
IAC,0.007879782955010163,Dictionary.com,1.2207254771510709e-5,US
IAC,0.007879782955010163,Iac,1.2207254771510709e-5,US
Oracle,0.007232798452120095,Oracle,0.007092415022247722,US
Oracle,0.007232798452120095,Addthis,1.2207254771510708e-4,US
Oracle,0.007232798452120095,Bluekai,1.8310882157266065e-5,NA
Haute Secure,0.006427119637200388,Truste,0.006427119637200388,NA
TRUSTe,0.006427119637200388,Truste,0.006427119637200388,US
Dropbox,0.005853378662939385,Dropbox,0.005853378662939385,NA
Urbanairship,0.005609233567509171,Urbanairship,0.005609233567509171,NA
Sina,0.00542612474593651,Weibo,0.004419026227286876,CN
Sina,0.00542612474593651,Sina,0.002221720368414949,CN
Pushwoosh,0.0047608293608891765,Pushwoosh,0.0047608293608891765,NA
Vk,0.004748622106117666,Vk,0.004748622106117666,NA
Adjust,0.004602135048859537,Adjust,0.004602135048859537,NA
Localytics,0.0045777205393165155,Localytics,0.0045777205393165155,NA
Pinterest,0.00455940965715925,Pinterest,0.00455940965715925,US
Mobfox,0.0044373371094441425,Mobfox,0.0044373371094441425,NA
Millennialmedia,0.0043457826986578124,Millennialmedia,0.0043457826986578124,NA
Foursquare,0.004339679071272057,Foursquare,0.004339679071272057,NA
Mapbox,0.004034497701984289,Mapbox,0.004034497701984289,US
Automattic,0.003619451039752925,Wordpress,0.003216611632293072,US
Automattic,0.003619451039752925,Gravatar,4.028394074598534e-4,US
RNTS Media,0.003479067609880552,Fyber,0.003479067609880552,NA
Drawbridge,0.0033875131990942216,Drawbridge,0.0033875131990942216,US
Branch,0.003265440651379115,Branch,0.003265440651379115,NA
imgur,0.0032288188870645824,Imgur,0.0032288188870645824,NA
Heyzap,0.0030762282024206986,Heyzap,0.0030762282024206986,NA
Tapjoy,0.0026245597758748026,Tapjoy,0.0026245597758748026,NA
Vungle,0.002356000170901567,Vungle,0.002356000170901567,NA
Apteligent,0.001947057136055958,Apteligent,0.001947057136055958,NA
Wikipedia,0.0019165389991271813,Wikipedia,0.0019165389991271813,NA
Daum,0.0018371918431123618,Daum,0.0018371918431123618,NA
Wikimedia,0.0018310882157266063,Wikimedia,0.0018310882157266063,NA
Xinmeihutong,0.0018066737061835849,Xinmeihutong,0.0018066737061835849,NA
360,0.0015808394929106367,360,0.0015808394929106367,CN
Impact Radius,0.0015747358655248814,Forensiq,0.0015747358655248814,NA
Soundcloud,0.0015625286107533707,Soundcloud,0.0015625286107533707,NA
Pingstart,0.0015014923368958171,Pingstart,0.0015014923368958171,NA
Hichina,0.0014587669451955297,Hichina,0.0014587669451955297,NA
Moat,0.0014526633178097742,Moat,0.0014526633178097742,US
Adbuddiz,0.0013855234165664654,Adbuddiz,0.0013855234165664654,NA
NetEase,0.0013366943974804225,Netease,0.0013366943974804225,CN
Sohu,0.0012695544962371137,Sohu,0.0012695544962371137,CN
Evernote,0.0012451399866940922,Evernote,0.0012451399866940922,NA
Spotify,0.0012207254771510708,Spotify,0.0012207254771510708,NA
Mcro,0.0012024145949938048,Mcro,0.0012024145949938048,NA
International Business Machines,0.0011841037128365386,Weather Underground,8.606114613915049e-4,US
International Business Machines,0.0011841037128365386,International Business Machines,2.502487228159695e-4,US
International Business Machines,0.0011841037128365386,The Weather Company,7.93471560148196e-5,US
Bugsnag,0.0010864456746644531,Bugsnag,0.0010864456746644531,NA
Brightcove,0.0010620311651214317,Brightcove,0.0010620311651214317,US
China InterActive,9.887876364923674e-4,Ren Ren,9.887876364923674e-4,CN
comScore,9.826840091066121e-4,Scorecardresearch,9.826840091066121e-4,US
comScore,9.826840091066121e-4,Voicefive,2.014197037299267e-4,US
Appboy,9.582694995635907e-4,Appboy,9.582694995635907e-4,NA
Sogou,8.911295983202817e-4,Sogou,8.911295983202817e-4,CN
Uber,8.545078340057497e-4,Uber,8.545078340057497e-4,NA
Tune,6.958135219761104e-4,Tune,6.958135219761104e-4,NA
Ebay,6.775026398188444e-4,Ebay,6.775026398188444e-4,NA
Kochava,6.71399012433089e-4,Kochava,6.71399012433089e-4,NA
Integral Ad Science,5.737409742610034e-4,Integral Ad Science,5.737409742610034e-4,US
Igaworks,5.493264647179819e-4,Igaworks,5.493264647179819e-4,NA
Apsalar,4.943938182461837e-4,Apsalar,4.943938182461837e-4,NA
Presage,4.943938182461837e-4,Presage,4.943938182461837e-4,NA
OpenX,4.882901908604283e-4,Openx,4.882901908604283e-4,US
I-Mobile,4.211502896171195e-4,I-Mobile,4.211502896171195e-4,NA
Nexage,4.0894303484560876e-4,Nexage,4.0894303484560876e-4,NA
Gigya,3.906321526883427e-4,Gigya,3.906321526883427e-4,US
Youku Tudou,3.845285253025873e-4,Youku Tudou,3.845285253025873e-4,CN
Mocomplex,3.723212705310766e-4,Mocomplex,3.723212705310766e-4,NA
Opera ,3.6011401575956594e-4,Admarvel,3.6011401575956594e-4,NA
Tnkfactory,3.479067609880552e-4,Tnkfactory,3.479067609880552e-4,NA
RhythmOne,3.1128499667352306e-4,Radium One,3.1128499667352306e-4,US
Mailchimp,2.9907774190201234e-4,Mailchimp,2.9907774190201234e-4,NA
Condé Nast,2.7466323235899096e-4,Reddit,2.7466323235899096e-4,NA
Adstir,2.563523502017249e-4,Adstir,2.563523502017249e-4,NA
NetIQ,2.502487228159695e-4,Webtrends,2.502487228159695e-4,US
NetIQ,2.502487228159695e-4,Webtrends,2.502487228159695e-4,NA
Samsung,2.502487228159695e-4,Samsung,2.0752333111568206e-4,KR
Samsung,2.502487228159695e-4,Adgear,4.272539170028748e-5,CA
Mologiq,2.258342132729481e-4,Mologiq,2.258342132729481e-4,NA
Accuweather,2.014197037299267e-4,Accuweather,2.014197037299267e-4,US
BBC,1.9531607634417134e-4,Bbc,1.9531607634417134e-4,NA
Quantcast,1.9531607634417134e-4,Quantcast,1.9531607634417134e-4,US
Mozilla,1.8921244895841598e-4,Mozilla,1.8921244895841598e-4,US
AppNexus,1.8310882157266062e-4,Appnexus,1.8310882157266062e-4,US
Jquery,1.8310882157266062e-4,Jquery,1.8310882157266062e-4,NA
Yieldex,1.8310882157266062e-4,Appnexus,1.8310882157266062e-4,NA
JD.com,1.770051941869053e-4,Jd.com,1.770051941869053e-4,CN
Jumptap,1.770051941869053e-4,Jumptap,1.770051941869053e-4,NA
Nokia,1.770051941869053e-4,Withings,1.770051941869053e-4,NA
Bootstrap,1.7090156680114993e-4,Bootstrap,1.7090156680114993e-4,NA
Criteo,1.6479793941539457e-4,Criteo,1.6479793941539457e-4,FR
Rackspace Us,1.586943120296392e-4,Rackspace Us,1.586943120296392e-4,NA
Medscape,1.4038342987237316e-4,Medscape,1.4038342987237316e-4,US
Aerserv,1.342798024866178e-4,Aerserv,1.342798024866178e-4,NA
Nativex,1.342798024866178e-4,Nativex,1.342798024866178e-4,NA
Hubspot,1.2817617510086244e-4,Hubspot,1.2817617510086244e-4,US
Fout,1.2207254771510708e-4,Fout,1.2207254771510708e-4,NA
Mobvista,1.2207254771510708e-4,Mobvista,1.2207254771510708e-4,NA
Adform,1.1596892032935173e-4,Adform,1.1596892032935173e-4,NA
AdForm,1.1596892032935173e-4,Adform,1.1596892032935173e-4,DK
WebMD,1.1596892032935173e-4,Webmd,1.1596892032935173e-4,US
Netflix,0.00010986529294359638,Netflix,0.00010986529294359638,NA
Hotukdeals,1.0376166555784103e-4,Hotukdeals,1.0376166555784103e-4,NA
AdChina,9.765803817208567e-5,Adchina,9.765803817208567e-5,CN
Nike Fuelband,9.155441078633031e-5,Nike Fuelband,9.155441078633031e-5,NA
Noosphere,9.155441078633031e-5,Flksu,9.155441078633031e-5,NA
Optimizely,9.155441078633031e-5,Optimizely,9.155441078633031e-5,US
Longtail Ad Solutions,8.545078340057496e-5,Longtail Ad Solutions,8.545078340057496e-5,NA
Xiaomi,8.545078340057496e-5,Xiaomi,8.545078340057496e-5,NA
iResearch Consulting Group,7.93471560148196e-5,Iresearch Consulting Group,7.93471560148196e-5,CN
Nativo,7.93471560148196e-5,Nativo,7.93471560148196e-5,US
Theguardian,7.93471560148196e-5,Theguardian,7.93471560148196e-5,NA
Blinkx,7.324352862906426e-5,Blinkx,7.324352862906426e-5,US
Microsoft-Azure,7.324352862906426e-5,Microsoft-Azure,7.324352862906426e-5,NA
INFOnline,6.71399012433089e-5,Infonline,6.71399012433089e-5,DE
Medium,6.71399012433089e-5,Medium,6.71399012433089e-5,NA
Netdna,6.103627385755354e-5,Netdna,6.103627385755354e-5,NA
Sumo Logic,6.103627385755354e-5,Sumo Logic,6.103627385755354e-5,NA
Gemius,5.493264647179819e-5,Gemius,5.493264647179819e-5,PL
Krxd,5.493264647179819e-5,Krxd,5.493264647179819e-5,NA
