leaf_parent,pctOfApps.x,company,pctOfApps.y,country
Alphabet,0.947387824697768,Google,0.9446074440467596,US
Alphabet,0.947387824697768,Doubleclick,0.7894437702576076,US
Alphabet,0.947387824697768,Google Analytics,0.39899230402924774,US
Alphabet,0.947387824697768,Admob,0.13493294827877542,NA
Alphabet,0.947387824697768,Youtube,0.08983240909998617,US
Alphabet,0.947387824697768,Firebase,0.04826495030645632,NA
Alphabet,0.947387824697768,Blogger,0.005069202291893885,US
Alphabet,0.947387824697768,Alphabet,1.5361219066345106e-5,US
Facebook,0.5217745280265442,Facebook,0.5212368853592221,US
Facebook,0.5217745280265442,Liverail,0.0219665432648735,NA
Facebook,0.5217745280265442,Liverail,0.0219665432648735,US
Facebook,0.5217745280265442,Instagram,0.015100078342217238,NA
Facebook,0.5217745280265442,Lifestreet,4.608365719903532e-5,NA
Twitter,0.3150125193935391,Twitter,0.29998924714665354,US
Twitter,0.3150125193935391,Crashlytics,0.03543833238605816,NA
Twitter,0.3150125193935391,Mopub,0.009093841687276302,NA
Amazon,0.30180187099648226,Amazon,0.20596322524155516,US
Amazon,0.30180187099648226,Amazon Web Services,0.10954085316210695,US
Microsoft,0.19528717799044532,Microsoft,0.19305980122582528,US
Microsoft,0.19528717799044532,Bitstadium,0.002642129679411358,NA
Microsoft,0.19528717799044532,Bing,5.990875435874591e-4,US
Verizon,0.18365873515722209,Yahoo,0.16026359851917849,US
Verizon,0.18365873515722209,Flurry,0.027972779919814436,NA
Verizon,0.18365873515722209,Flickr,0.006267377379068803,US
Verizon,0.18365873515722209,Tumblr,0.0056222061782823084,US
Verizon,0.18365873515722209,Verizon,4.1475291479131784e-4,US
Verizon,0.18365873515722209,Aol,2.91863162260557e-4,US
App-Measurement,0.17605493171938125,App-Measurement,0.17605493171938125,NA
Paypal,0.15963378853745833,Paypal,0.15963378853745833,NA
LinkedIn,0.15602390205686723,Linkedin,0.15602390205686723,US
Yandex,0.0547627459715203,Yandex,0.0547627459715203,RU
Oracle,0.05232031213997143,Oracle,0.05201308775864453,US
Oracle,0.05232031213997143,Bluekai,3.072243813269021e-4,NA
Alibaba,0.05104533095746478,Alibaba,0.04878723175471206,CN
Alibaba,0.05104533095746478,Umeng,0.0023963501743498364,NA
Alibaba,0.05104533095746478,Hichina,9.216731439807063e-5,CN
Baidu,0.047911642267930384,Baidu,0.047911642267930384,CN
Wikipedia,0.04497764942625847,Wikipedia,0.04497764942625847,NA
Revmob,0.031997419315196854,Revmob,0.031997419315196854,NA
Apple,0.019385858461727523,Apple,0.019385858461727523,US
Mobfox,0.018387379222415092,Mobfox,0.018387379222415092,NA
Chartboost,0.018310573127083365,Chartboost,0.018310573127083365,NA
Soundcloud,0.017834375336026668,Soundcloud,0.017834375336026668,NA
Applovin,0.013041674987326994,Applovin,0.013041674987326994,NA
Cloudflare,0.012795895482265472,Cloudflare,0.012795895482265472,US
Akamai,0.01095254919430406,Akamai,0.01095254919430406,US
Inmobi,0.009523955821133965,Inmobi,0.009523955821133965,NA
Opera,0.00875589486781671,Adcolony,0.00875589486781671,NA
Adobe,0.008371864391158083,Adobe,0.008371864391158083,US
startapp,0.00803391757169849,Startapp,0.00803391757169849,NA
IAC,0.006835742484523572,Vimeo,0.006728213951059156,US
IAC,0.006835742484523572,Ask.com,7.680609533172553e-5,US
IAC,0.006835742484523572,Dictionary.com,3.072243813269021e-5,US
IAC,0.006835742484523572,Tripadvisor,1.5361219066345106e-5,NA
Appnext,0.006451712007864944,Appnext,0.006451712007864944,NA
Spotify,0.006190571283737077,Spotify,0.006190571283737077,NA
Limelight Networks,0.006052320312139972,Limelight Networks,0.006052320312139972,NA
Unitytechnologies,0.005929430559609211,Unitytechnologies,0.005929430559609211,NA
Ironsource,0.005791179588012105,Ironsource,0.005791179588012105,NA
Mixpanel,0.005683651054547689,Mixpanel,0.005683651054547689,NA
Appsflyer,0.005453232768552512,Appsflyer,0.005453232768552512,NA
Unity Technologies,0.004992396196562159,Applifier,0.004992396196562159,NA
Disqus,0.004915590101230434,Disqus,0.004915590101230434,US
Smart Ad Server,0.004838784005898708,Smart Ad Server,0.004838784005898708,US
Urbanairship,0.0046237269389698766,Urbanairship,0.0046237269389698766,NA
Moat,0.0043933086529747,Moat,0.0043933086529747,US
Millennialmedia,0.004331863776709319,Millennialmedia,0.004331863776709319,NA
Dropbox,0.004055361833515108,Dropbox,0.004055361833515108,NA
comScore,0.0039939169572497275,Scorecardresearch,0.0039939169572497275,US
comScore,0.0039939169572497275,Voicefive,1.3825097159710594e-4,US
Heyzap,0.003655970137790135,Heyzap,0.003655970137790135,NA
Spearhead Integrated Marketing Communication ,0.003225856003932472,Smaato,0.003225856003932472,NA
Opera ,0.00288790918447288,Admarvel,0.00288790918447288,NA
Vk,0.002488517488747907,Vk,0.002488517488747907,NA
Appodeal,0.0023809889552834913,Appodeal,0.0023809889552834913,NA
Vungle,0.0023809889552834913,Vungle,0.0023809889552834913,NA
Presage,0.0023041828599517657,Presage,0.0023041828599517657,NA
New Relic,0.0021812931074210048,New Relic,0.0021812931074210048,US
Foursquare,0.0019969584786248638,Foursquare,0.0019969584786248638,NA
Automattic,0.0019815972595585186,Wordpress,0.0019508748214258284,US
Automattic,0.0019815972595585186,Gravatar,3.072243813269021e-5,US
Tencent,0.0018279850688950675,Tencent,0.0018279850688950675,CN
Nexage,0.0017972626307623772,Nexage,0.0017972626307623772,NA
Brightcove,0.001781901411696032,Brightcove,0.001781901411696032,US
Drawbridge,0.001781901411696032,Drawbridge,0.001781901411696032,US
Rubicon Project,0.001781901411696032,Rubicon Project,0.001781901411696032,US
Pubnative,0.0017050953163643067,Pubnative,0.0017050953163643067,NA
Sumo Logic,0.001612928001966236,Sumo Logic,0.001612928001966236,NA
Adbuddiz,0.0015822055638335458,Adbuddiz,0.0015822055638335458,NA
Mail.Ru,0.0015668443447672006,Mail.ru,0.0015668443447672006,NA
Amplitude,0.0015514831257008555,Amplitude,0.0015514831257008555,NA
Quantcast,0.00144395459223644,Quantcast,0.00144395459223644,US
Localytics,0.0014132321541037497,Localytics,0.0014132321541037497,NA
Pinterest,0.0012749811825066438,Pinterest,0.0012749811825066438,US
Mapbox,0.0012288975253076085,Mapbox,0.0012288975253076085,US
Mcro,0.0011981750871749182,Mcro,0.0011981750871749182,NA
Pushwoosh,0.0011520914299758829,Pushwoosh,0.0011520914299758829,NA
Gigya,0.0010752853346441573,Gigya,0.0010752853346441573,US
NetIQ,0.0010599241155778124,Webtrends,0.0010599241155778124,US
NetIQ,0.0010599241155778124,Webtrends,0.0010599241155778124,NA
Sina,0.0010292016774451221,Weibo,7.066160770518748e-4,CN
Sina,0.0010292016774451221,Sina,6.912548579855297e-4,CN
Branch,9.984792393124319e-4,Branch,9.984792393124319e-4,NA
Apteligent,7.987833914499454e-4,Apteligent,7.987833914499454e-4,NA
Daum,7.834221723836003e-4,Daum,7.834221723836003e-4,NA
Adjust,7.680609533172552e-4,Adjust,7.680609533172552e-4,NA
RNTS Media,7.526997342509102e-4,Fyber,7.526997342509102e-4,NA
