leaf_parent,pctOfApps.x,company,pctOfApps.y,country
Alphabet,0.9173547429702066,Google,0.9106198394277234,US
Alphabet,0.9173547429702066,Doubleclick,0.6344507438834138,US
Alphabet,0.9173547429702066,Google Analytics,0.5255507781286861,US
Alphabet,0.9173547429702066,Youtube,0.2770062021993075,US
Alphabet,0.9173547429702066,Admob,0.1162817244397093,NA
Alphabet,0.9173547429702066,Blogger,0.006049998097484875,US
Alphabet,0.9173547429702066,Firebase,0.0031962254099920095,NA
Facebook,0.5482287584186294,Facebook,0.5469730984361326,US
Facebook,0.5482287584186294,Instagram,0.041627030934895934,NA
Facebook,0.5482287584186294,Liverail,0.007762261709980595,NA
Facebook,0.5482287584186294,Liverail,0.007762261709980595,US
Facebook,0.5482287584186294,Lifestreet,1.1415090749971463e-4,NA
Twitter,0.5056885202237358,Twitter,0.46858947528632855,US
Twitter,0.5056885202237358,Crashlytics,0.08865720482477836,NA
Twitter,0.5056885202237358,Mopub,0.0804763897872988,NA
Verizon,0.390396103649024,Yahoo,0.3272706518016818,US
Verizon,0.390396103649024,Flurry,0.14664586583463338,NA
Verizon,0.390396103649024,Tumblr,0.07819337163730451,US
Verizon,0.390396103649024,Flickr,0.02176477302994559,US
Verizon,0.390396103649024,Aol,0.001255659982496861,US
Verizon,0.390396103649024,Verizon,5.327042349986683e-4,US
Verizon,0.390396103649024,Gravity Insights,3.8050302499904876e-5,US
Verizon,0.390396103649024,Intowow,3.8050302499904876e-5,NA
Microsoft,0.3199269434192002,Microsoft,0.3098055629542255,US
Microsoft,0.3199269434192002,Bitstadium,0.010996537422472509,NA
Microsoft,0.3199269434192002,Bing,0.002092766637494768,US
LinkedIn,0.286785129941783,Linkedin,0.286785129941783,US
Paypal,0.2843499105817891,Paypal,0.2843499105817891,NA
App-Measurement,0.23009017921692476,App-Measurement,0.23009017921692476,NA
Amazon,0.19999238993950003,Amazon,0.13492637266466267,US
Amazon,0.19999238993950003,Amazon Web Services,0.10125185495224687,US
Amazon,0.19999238993950003,Alexa,3.8050302499904876e-5,US
Disqus,0.09478330352726304,Disqus,0.09478330352726304,US
Mapbox,0.06575092271983562,Mapbox,0.06575092271983562,US
comScore,0.044290552109889275,Scorecardresearch,0.044290552109889275,US
comScore,0.044290552109889275,Voicefive,0.007914462919980214,US
Adobe,0.04002891822989993,Adobe,0.03987671701990031,US
Adobe,0.04002891822989993,Livefyre,1.1415090749971463e-4,NA
Adobe,0.04002891822989993,Typekit,3.8050302499904876e-5,US
Smart Ad Server,0.03215250561241962,Smart Ad Server,0.03215250561241962,US
Inmobi,0.030858795327422854,Inmobi,0.030858795327422854,NA
Akamai,0.029679235949925803,Akamai,0.029679235949925803,US
IAC,0.028081123244929798,Vimeo,0.027738670522430654,US
IAC,0.028081123244929798,Iac,7.229557474981926e-4,US
IAC,0.028081123244929798,About.com,3.04402419999239e-4,US
IAC,0.028081123244929798,Ask.com,3.04402419999239e-4,US
IAC,0.028081123244929798,Dictionary.com,3.8050302499904876e-5,US
Apple,0.026977664472432557,Apple,0.026977664472432557,US
Appsflyer,0.02629275902743427,Appsflyer,0.02629275902743427,NA
Urbanairship,0.023058483314942355,Urbanairship,0.023058483314942355,NA
Pinterest,0.02271603059244321,Pinterest,0.02271603059244321,US
BBC,0.019862257904950345,Bbc,0.019862257904950345,NA
Millennialmedia,0.019329553669951677,Millennialmedia,0.019329553669951677,NA
Mobfox,0.017921692477455196,Mobfox,0.017921692477455196,NA
Spearhead Integrated Marketing Communication ,0.017122636124957194,Smaato,0.017122636124957194,NA
Opera,0.016513831284958716,Adcolony,0.016513831284958716,NA
Chartboost,0.014687416764963282,Chartboost,0.014687416764963282,NA
Automattic,0.014040561622464899,Wordpress,0.0124804992199688,US
Automattic,0.014040561622464899,Gravatar,0.0017883642174955292,US
Automattic,0.014040561622464899,Automattic,7.610060499980975e-5,US
Brightcove,0.013355656177466611,Brightcove,0.013355656177466611,US
Yandex,0.013355656177466611,Yandex,0.013355656177466611,RU
Applovin,0.013051253757467372,Applovin,0.013051253757467372,NA
Cloudflare,0.012746851337468133,Cloudflare,0.012746851337468133,US
Soundcloud,0.0124804992199688,Soundcloud,0.0124804992199688,NA
Alibaba,0.01209999619496975,Alibaba,0.009588676229976029,CN
Alibaba,0.01209999619496975,Umeng,0.0031581751074921047,NA
Alibaba,0.01209999619496975,Hichina,7.610060499980975e-4,CN
Opera ,0.011719493169970702,Admarvel,0.011719493169970702,NA
Baidu,0.010958487119972604,Baidu,0.010958487119972604,CN
Oracle,0.009969179254975077,Oracle,0.007267607777481831,US
Oracle,0.009969179254975077,Addthis,0.0019405654274951487,US
Oracle,0.009969179254975077,Bluekai,7.610060499980975e-4,NA
New Relic,0.009664776834975838,New Relic,0.009664776834975838,US
International Business Machines,0.009588676229976029,The Weather Company,0.005821696282485446,US
International Business Machines,0.009588676229976029,International Business Machines,0.0029679235949925803,US
International Business Machines,0.009588676229976029,Weather Underground,0.0014078611924964804,US
Pushwoosh,0.008599368364978502,Pushwoosh,0.008599368364978502,NA
Appnext,0.008294965944979263,Appnext,0.008294965944979263,NA
Gigya,0.007914462919980214,Gigya,0.007914462919980214,US
Mixpanel,0.00764811080248088,Mixpanel,0.00764811080248088,NA
Localytics,0.007533959894981165,Localytics,0.007533959894981165,NA
Theguardian,0.007533959894981165,Theguardian,0.007533959894981165,NA
Sina,0.007153456869982117,Sina,0.004642136904988395,CN
Sina,0.007153456869982117,Weibo,0.00460408660248849,CN
Tencent,0.007115406567482212,Tencent,0.007115406567482212,CN
Adjust,0.006772953844983068,Adjust,0.006772953844983068,NA
Foursquare,0.006696853239983258,Foursquare,0.006696853239983258,NA
Spotify,0.006430501122483924,Spotify,0.006430501122483924,NA
Dropbox,0.006316350214984209,Dropbox,0.006316350214984209,NA
Revmob,0.006202199307484495,Revmob,0.006202199307484495,NA
Evernote,0.0059738974924850655,Evernote,0.0059738974924850655,NA
NetIQ,0.005707545374985731,Webtrends,0.005707545374985731,US
NetIQ,0.005707545374985731,Webtrends,0.005707545374985731,NA
Double Verify,0.005517293862486207,Double Verify,0.005517293862486207,US
Moat,0.005250941744986873,Moat,0.005250941744986873,US
Limelight Networks,0.005174841139987063,Limelight Networks,0.005174841139987063,NA
Integral Ad Science,0.0050606902324873484,Integral Ad Science,0.0050606902324873484,US
Vk,0.004832388417487919,Vk,0.004832388417487919,NA
Outbrain,0.004718237509988205,Outbrain,0.004718237509988205,US
Apteligent,0.0046801872074883,Apteligent,0.0046801872074883,NA
Krxd,0.004642136904988395,Krxd,0.004642136904988395,NA
Appboy,0.004566036299988585,Appboy,0.004566036299988585,NA
Branch,0.0044138350899889656,Branch,0.0044138350899889656,NA
Accuweather,0.004375784787489061,Accuweather,0.004375784787489061,US
NetEase,0.0038050302499904876,Netease,0.0038050302499904876,CN
imgur,0.0035386781324911534,Imgur,0.0035386781324911534,NA
Quantcast,0.0035386781324911534,Quantcast,0.0035386781324911534,US
startapp,0.0035386781324911534,Startapp,0.0035386781324911534,NA
Sohu,0.003386476922491534,Sohu,0.003386476922491534,CN
Longtail Ad Solutions,0.003348426619991629,Longtail Ad Solutions,0.003348426619991629,NA
Drawbridge,0.0032723260149918193,Drawbridge,0.0032723260149918193,US
INFOnline,0.0032342757124919144,Infonline,0.0032342757124919144,DE
Amplitude,0.0031201248049922,Amplitude,0.0031201248049922,NA
Wikipedia,0.00304402419999239,Wikipedia,0.00304402419999239,NA
Taboola,0.002815722384992961,Taboola,0.002815722384992961,US
Unity Technologies,0.002701571477493246,Applifier,0.002701571477493246,NA
Appodeal,0.0025493702674936267,Appodeal,0.0025493702674936267,NA
Rubicon Project,0.0025493702674936267,Rubicon Project,0.002511319964993722,US
Rubicon Project,0.0025493702674936267,Chango,3.8050302499904876e-5,CA
Pubnative,0.002397169057494007,Pubnative,0.002397169057494007,NA
Teads,0.0022830181499942925,Teads,0.0022830181499942925,US
Vungle,0.0022449678474943877,Vungle,0.0022449678474943877,NA
Gemius,0.0019786157299950535,Gemius,0.0019786157299950535,PL
Mail.Ru,0.0019405654274951487,Mail.ru,0.0019405654274951487,NA
Daum,0.001826414519995434,Daum,0.001826414519995434,NA
At Internet,0.0017503139149956243,At Internet,0.0017503139149956243,NA
Optimizely,0.0017122636124957194,Optimizely,0.0017122636124957194,US
Cxense Asa,0.0016361630074959096,Cxense Asa,0.0016361630074959096,NA
AppNexus,0.0015981127049960048,Appnexus,0.0015981127049960048,US
Yieldex,0.0015981127049960048,Appnexus,0.0015981127049960048,NA
Cheetahmobile,0.001522012099996195,Cheetahmobile,0.001522012099996195,NA
Heyzap,0.0013317605874966706,Heyzap,0.0013317605874966706,NA
China InterActive,0.0012937102849967658,Ren Ren,0.0012937102849967658,CN
Apsalar,0.001255659982496861,Apsalar,0.001255659982496861,NA
Chartbeat,0.001217609679996956,Chartbeat,0.001217609679996956,US
Adbuddiz,0.0011795593774970511,Adbuddiz,0.0011795593774970511,NA
Ycombinator,0.0011415090749971463,Ycombinator,0.0011415090749971463,NA
Nativo,0.0011034587724972414,Nativo,0.0011034587724972414,US
Jquery,0.0010654084699973365,Jquery,0.0010654084699973365,NA
Wikimedia,0.0010654084699973365,Wikimedia,0.0010654084699973365,NA
RNTS Media,0.0010273581674974316,Fyber,0.0010273581674974316,NA
Gannett,9.13207259997717e-4,Gannett,9.13207259997717e-4,US
I-Mobile,8.371066549979073e-4,I-Mobile,8.371066549979073e-4,NA
Bugsnag,7.990563524980024e-4,Bugsnag,7.990563524980024e-4,NA
Hichina,7.610060499980975e-4,Hichina,7.610060499980975e-4,NA
Tune,7.610060499980975e-4,Tune,7.610060499980975e-4,NA
OpenX,7.229557474981926e-4,Openx,7.229557474981926e-4,US
Aerserv,6.849054449982878e-4,Aerserv,6.849054449982878e-4,NA
The E.W. Scripps Company,6.849054449982878e-4,The E.w. Scripps Company,6.849054449982878e-4,US
Comcast,6.468551424983829e-4,Comcast,4.946539324987634e-4,US
Comcast,6.468551424983829e-4,Theplatform,1.522012099996195e-4,NA
Ebay,6.468551424983829e-4,Ebay,6.468551424983829e-4,NA
Nexage,6.468551424983829e-4,Nexage,6.468551424983829e-4,NA
Polar Mobile Group,6.08804839998478e-4,Polar Mobile Group,6.08804839998478e-4,NA
Impact Radius,5.707545374985731e-4,Forensiq,5.707545374985731e-4,NA
Parsely,5.707545374985731e-4,Parsely,5.707545374985731e-4,NA
9Gag,5.327042349986683e-4,9Gag,5.327042349986683e-4,NA
Ironsource,4.946539324987634e-4,Ironsource,4.946539324987634e-4,NA
Youku Tudou,4.946539324987634e-4,Youku Tudou,4.946539324987634e-4,CN
Presage,4.566036299988585e-4,Presage,4.566036299988585e-4,NA
Sumo Logic,4.566036299988585e-4,Sumo Logic,4.566036299988585e-4,NA
Tapjoy,4.566036299988585e-4,Tapjoy,4.566036299988585e-4,NA
Unitytechnologies,4.566036299988585e-4,Unitytechnologies,4.566036299988585e-4,NA
Mocomplex,4.1855332749895363e-4,Mocomplex,4.1855332749895363e-4,NA
Mozilla,4.1855332749895363e-4,Mozilla,4.1855332749895363e-4,US
Hubspot,3.8050302499904876e-4,Hubspot,3.8050302499904876e-4,US
Jumptap,3.8050302499904876e-4,Jumptap,3.8050302499904876e-4,NA
RhythmOne,3.8050302499904876e-4,Radium One,3.8050302499904876e-4,US
WebMD,3.8050302499904876e-4,Webmd,3.8050302499904876e-4,US
Ensighten,3.424527224991439e-4,Ensighten,3.424527224991439e-4,US
Mcro,3.424527224991439e-4,Mcro,3.424527224991439e-4,NA
Outfit7,3.424527224991439e-4,Bee7,3.424527224991439e-4,NA
Rackspace Us,3.424527224991439e-4,Rackspace Us,3.424527224991439e-4,NA
Rambler,3.04402419999239e-4,Rambler,3.04402419999239e-4,NA
Adstir,2.6635211749933413e-4,Adstir,2.6635211749933413e-4,NA
Bootstrap,2.6635211749933413e-4,Bootstrap,2.6635211749933413e-4,NA
Condé Nast,2.6635211749933413e-4,Reddit,2.6635211749933413e-4,NA
Nielsen Online,2.2830181499942925e-4,Nielsen Online,1.9025151249952438e-4,US
Nielsen Online,2.2830181499942925e-4,Exelate,3.8050302499904876e-5,US
Qualtrics,2.2830181499942925e-4,Qualtrics,2.2830181499942925e-4,NA
Sharethrough,2.2830181499942925e-4,Sharethrough,2.2830181499942925e-4,US
Zedo,2.2830181499942925e-4,Zedo,2.2830181499942925e-4,NA
Adition,1.9025151249952438e-4,Adition,1.9025151249952438e-4,NA
Gfk,1.9025151249952438e-4,Gfk,1.9025151249952438e-4,NA
Improve Digital,1.9025151249952438e-4,Improve Digital,1.9025151249952438e-4,NL
Mailchimp,1.9025151249952438e-4,Mailchimp,1.9025151249952438e-4,NA
Microsoft-Azure,1.9025151249952438e-4,Microsoft-Azure,1.9025151249952438e-4,NA
Weather.com.cn,1.9025151249952438e-4,Weather.com.cn,1.9025151249952438e-4,CN
Adform,1.522012099996195e-4,Adform,1.522012099996195e-4,NA
AdForm,1.522012099996195e-4,Adform,1.522012099996195e-4,DK
Drugsite Trust,1.522012099996195e-4,Drugsite Trust,1.522012099996195e-4,US
Fastly,1.522012099996195e-4,Fastly,1.522012099996195e-4,NA
Mologiq,1.522012099996195e-4,Mologiq,1.522012099996195e-4,NA
Swrve,1.522012099996195e-4,Swrve,1.522012099996195e-4,NA
Tnkfactory,1.522012099996195e-4,Tnkfactory,1.522012099996195e-4,NA
Uber,1.522012099996195e-4,Uber,1.522012099996195e-4,NA
United Internet Media,1.522012099996195e-4,United Internet Media,1.522012099996195e-4,DE
360,1.1415090749971463e-4,360,1.1415090749971463e-4,CN
Adfox,1.1415090749971463e-4,Adfox,1.1415090749971463e-4,NA
Blinkx,1.1415090749971463e-4,Blinkx,1.1415090749971463e-4,US
DG,1.1415090749971463e-4,Sizmek,1.1415090749971463e-4,US
Fout,1.1415090749971463e-4,Fout,1.1415090749971463e-4,NA
HATENA,1.1415090749971463e-4,Hatena,1.1415090749971463e-4,NA
Mediametrie,1.1415090749971463e-4,Mediametrie,1.1415090749971463e-4,NA
Priceline,1.1415090749971463e-4,Booking,1.1415090749971463e-4,NA
ReadSpeaker,1.1415090749971463e-4,Readspeaker,1.1415090749971463e-4,NL
AdChina,7.610060499980975e-5,Adchina,7.610060499980975e-5,CN
Adriver,7.610060499980975e-5,Adriver,7.610060499980975e-5,NA
AFCV Holdings,7.610060499980975e-5,Answers Corporation,7.610060499980975e-5,US
CBS Corporation,7.610060499980975e-5,Cbs Corporation,7.610060499980975e-5,US
Deutsche Telekom,7.610060499980975e-5,Deutsche Telekom,7.610060499980975e-5,DE
Esa,7.610060499980975e-5,Esa,7.610060499980975e-5,NA
Igaworks,7.610060499980975e-5,Igaworks,7.610060499980975e-5,NA
Inform,7.610060499980975e-5,Inform,7.610060499980975e-5,US
Medium,7.610060499980975e-5,Medium,7.610060499980975e-5,NA
Medscape,7.610060499980975e-5,Medscape,7.610060499980975e-5,US
Netflix,7.610060499980975e-5,Netflix,7.610060499980975e-5,NA
Spot X Change,7.610060499980975e-5,Spot X Change,7.610060499980975e-5,US
Statcounter,7.610060499980975e-5,Statcounter,7.610060499980975e-5,IE
Tealium,7.610060499980975e-5,Tealium,7.610060499980975e-5,NA
Tradedoubler,7.610060499980975e-5,Tradedoubler,7.610060499980975e-5,SE
AdSame,3.8050302499904876e-5,Adsame,3.8050302499904876e-5,CN
Adsnative,3.8050302499904876e-5,Adsnative,3.8050302499904876e-5,NA
Airbnb,3.8050302499904876e-5,Airbnb,3.8050302499904876e-5,NA
Amung,3.8050302499904876e-5,Amung,3.8050302499904876e-5,NA
Conversant Media,3.8050302499904876e-5,Mediaplex,3.8050302499904876e-5,US
Disney,3.8050302499904876e-5,Disney,3.8050302499904876e-5,NA
Effective Measure,3.8050302499904876e-5,Effective Measure,3.8050302499904876e-5,NA
Emar Box,3.8050302499904876e-5,Emar Box,3.8050302499904876e-5,CN
Encore Media Metrics,3.8050302499904876e-5,Flashtalking,3.8050302499904876e-5,NA
Evidon,3.8050302499904876e-5,Evidon,3.8050302499904876e-5,US
Haute Secure,3.8050302499904876e-5,Truste,3.8050302499904876e-5,NA
Health Grades,3.8050302499904876e-5,Health Grades,3.8050302499904876e-5,US
Hearst,3.8050302499904876e-5,Hearst,3.8050302499904876e-5,US
HiMedia Group,3.8050302499904876e-5,Sedo,3.8050302499904876e-5,DE
Hotukdeals,3.8050302499904876e-5,Hotukdeals,3.8050302499904876e-5,NA
Impact-Ad,3.8050302499904876e-5,Impact-Ad,3.8050302499904876e-5,NA
iResearch Consulting Group,3.8050302499904876e-5,Iresearch Consulting Group,3.8050302499904876e-5,CN
Kochava,3.8050302499904876e-5,Kochava,3.8050302499904876e-5,NA
Loopme,3.8050302499904876e-5,Loopme,3.8050302499904876e-5,NA
MediaAV,3.8050302499904876e-5,Mediaav,3.8050302499904876e-5,CN
Medialytics,3.8050302499904876e-5,Medialytics,3.8050302499904876e-5,NA
Mobvista,3.8050302499904876e-5,Mobvista,3.8050302499904876e-5,NA
Mode Media,3.8050302499904876e-5,Mode Media,3.8050302499904876e-5,US
Nationalrail,3.8050302499904876e-5,Nationalrail,3.8050302499904876e-5,NA
Neodata Group,3.8050302499904876e-5,Neodata Group,3.8050302499904876e-5,IT
Netdna,3.8050302499904876e-5,Netdna,3.8050302499904876e-5,NA
nielson,3.8050302499904876e-5,Exelate,3.8050302499904876e-5,NA
Nike Fuelband,3.8050302499904876e-5,Nike Fuelband,3.8050302499904876e-5,NA
Otherlevels,3.8050302499904876e-5,Otherlevels,3.8050302499904876e-5,NA
Pingstart,3.8050302499904876e-5,Pingstart,3.8050302499904876e-5,NA
Samsung,3.8050302499904876e-5,Samsung,3.8050302499904876e-5,KR
Skimlinks,3.8050302499904876e-5,Skimlinks,3.8050302499904876e-5,NA
Sogou,3.8050302499904876e-5,Sogou,3.8050302499904876e-5,CN
Sovrn,3.8050302499904876e-5,Sovrn,3.8050302499904876e-5,US
StackPath,3.8050302499904876e-5,Stackpath,3.8050302499904876e-5,US
The Property Software Group,3.8050302499904876e-5,Primelocation,3.8050302499904876e-5,NA
Tns,3.8050302499904876e-5,Tns,3.8050302499904876e-5,NA
Tout,3.8050302499904876e-5,Tout,3.8050302499904876e-5,US
TRUSTe,3.8050302499904876e-5,Truste,3.8050302499904876e-5,US
Turn,3.8050302499904876e-5,Turn,3.8050302499904876e-5,US
Viglink,3.8050302499904876e-5,Viglink,3.8050302499904876e-5,NA
WPP,3.8050302499904876e-5,Plista,3.8050302499904876e-5,DE
