super_genre,company,n,pctOfApps,country,leaf_parent
Productivity and Tools,Google,222573,23.2,US,Alphabet
Productivity and Tools,Doubleclick,128091,13.35,US,Alphabet
Productivity and Tools,Facebook,94205,9.82,US,Facebook
Productivity and Tools,Google Analytics,89719,9.35,US,Alphabet
Productivity and Tools,Google Tag Manager,75057,7.82,US,Alphabet
Productivity and Tools,Twitter,73717,7.68,US,Twitter
Productivity and Tools,Microsoft,50632,5.28,US,Microsoft
Productivity and Tools,Linkedin,50208,5.23,US,Linkedin
Productivity and Tools,Yahoo,48931,5.1,US,Verizon
Productivity and Tools,Admob,33003,3.44,US,Alphabet
Productivity and Tools,Youtube,23196,2.42,US,Alphabet
Productivity and Tools,Amazon Web Services,20766,2.16,US,Amazon
Productivity and Tools,Flurry,12120,1.26,US,Oath
Productivity and Tools,Amazon,9897,1.03,US,Amazon
Productivity and Tools,Adobe,7478,0.78,US,Adobe
Productivity and Tools,Flickr,5133,0.54,US,Oath
Productivity and Tools,Yandex,4581,0.48,RU,Yandex
Productivity and Tools,Baidu,4471,0.47,CN,Baidu
Productivity and Tools,Alibaba,3820,0.4,CN,Alibaba
Productivity and Tools,New Relic,3315,0.35,US,New Relic
Productivity and Tools,Mopub,3304,0.34,US,Twitter
Productivity and Tools,Revmob,3029,0.32,DE,Revmob
Productivity and Tools,Vimeo,2933,0.31,US,IAC
Productivity and Tools,Inmobi,2848,0.3,SG,Inmobi
Productivity and Tools,Mapbox,2702,0.28,US,Mapbox
Productivity and Tools,Appsflyer,2641,0.28,US,Appsflyer
Productivity and Tools,Tumblr,2595,0.27,US,Oath
Productivity and Tools,Applovin,2407,0.25,US,Applovin
Productivity and Tools,Cloudflare,2344,0.24,US,Cloudflare
Productivity and Tools,Akamai,2280,0.24,US,Akamai
Productivity and Tools,Adcolony,2232,0.23,US,Opera
Productivity and Tools,Chartboost,2218,0.23,,Chartboost
Productivity and Tools,Tencent,2080,0.22,CN,Tencent
Productivity and Tools,Amazon Marketing Services,2043,0.21,US,Amazon
Productivity and Tools,Apple,1982,0.21,US,Apple
Productivity and Tools,Urbanairship,1886,0.2,US,Urbanairship
Productivity and Tools,Foursquare,1766,0.18,US,Foursquare
Productivity and Tools,Oracle,1676,0.17,US,Oracle
Productivity and Tools,Disqus,1528,0.16,US,Disqus
Productivity and Tools,Appnext,1485,0.15,UK,Appnext
Productivity and Tools,Blogger,1470,0.15,US,Alphabet
Productivity and Tools,Liverail,1036,0.11,US,Facebook
Productivity and Tools,Weibo,1032,0.11,CN,Sina
Productivity and Tools,Smaato,1023,0.11,US,Spearhead Integrated Marketing Communication 
Productivity and Tools,Millennialmedia,904,0.09,,Millennialmedia
Productivity and Tools,Cheetahmobile,870,0.09,CN,Cheetahmobile
Productivity and Tools,Smart Adserver,848,0.09,UK,Smart Adserver
Productivity and Tools,Sina,837,0.09,CN,Sina
Productivity and Tools,Applifier,817,0.09,FI,Unity Technologies
Productivity and Tools,Smart Ad Server,776,0.08,US,Smart Ad Server
Productivity and Tools,Netease,752,0.08,CN,Netease
Productivity and Tools,Mobfox,748,0.08,AT,Mobfox
Productivity and Tools,Appodeal,732,0.08,US,Appodeal
Productivity and Tools,Sohu,714,0.07,CN,Sohu
Productivity and Tools,Branch,709,0.07,US,Branch
Productivity and Tools,Mail.ru,709,0.07,RU,Mail.ru
Productivity and Tools,Pubnative,688,0.07,DE,Pubnative
Productivity and Tools,Adbuddiz,676,0.07,FR,Adbuddiz
Productivity and Tools,Nexage,661,0.07,US,Nexage
Productivity and Tools,Pinterest,646,0.07,US,Pinterest
Productivity and Tools,Localytics,603,0.06,UK,Localytics
Productivity and Tools,Daum,584,0.06,KR,Daum
Productivity and Tools,Wordpress,576,0.06,US,Automattic
Productivity and Tools,Rubicon Project,562,0.06,US,Rubicon Project
Productivity and Tools,Scorecardresearch,546,0.06,US,comScore
Productivity and Tools,Ren Ren,515,0.05,CN,China InterActive
Productivity and Tools,Drawbridge,513,0.05,US,Drawbridge
Productivity and Tools,Vungle,426,0.04,US,Vungle
Productivity and Tools,Bing,397,0.04,US,Microsoft
Productivity and Tools,Bugsnag,378,0.04,US,Bugsnag
Productivity and Tools,Moat,353,0.04,US,Moat
Productivity and Tools,Fyber,345,0.04,US,RNTS Media
Productivity and Tools,Mcro,329,0.03,US,Mcro
Productivity and Tools,Tune,301,0.03,US,Tune
Productivity and Tools,Double Verify,297,0.03,US,Double Verify
Productivity and Tools,Aol,280,0.03,US,Verizon
Productivity and Tools,Voicefive,275,0.03,US,comScore
Productivity and Tools,Ironsource,267,0.03,US,Ironsource
Productivity and Tools,Tapjoy,249,0.03,US,Tapjoy
Productivity and Tools,I-Mobile,232,0.02,JP,I-Mobile
Productivity and Tools,Wikimedia Foundation,229,0.02,US,Wikimedia Foundation
Productivity and Tools,Pingstart,222,0.02,US,Pingstart
Productivity and Tools,Integral Ad Science,183,0.02,US,Integral Ad Science
Productivity and Tools,Weather Underground,178,0.02,US,International Business Machines
Productivity and Tools,Forensiq,162,0.02,US,Impact Radius
Productivity and Tools,Openx,159,0.02,US,Openx
Productivity and Tools,Gravatar,153,0.02,US,Automattic
Productivity and Tools,Webtrends,143,0.01,US,NetIQ
Productivity and Tools,Webtrends,143,0.01,US,NetIQ
Productivity and Tools,Brightcove,139,0.01,US,Brightcove
Productivity and Tools,Ask.com,137,0.01,US,IAC
Productivity and Tools,Apsalar,136,0.01,US,Apsalar
Productivity and Tools,Samsung,134,0.01,KR,Samsung
Productivity and Tools,Mozilla,129,0.01,US,Mozilla
Productivity and Tools,Presage,127,0.01,US,Presage
Productivity and Tools,Appboy,119,0.01,US,Appboy
Productivity and Tools,Mocomplex,119,0.01,KR,Mocomplex
Productivity and Tools,International Business Machines,113,0.01,US,International Business Machines
Productivity and Tools,Youku Tudou,109,0.01,CN,Youku Tudou
Productivity and Tools,Igaworks,85,0.01,KR,Igaworks
Productivity and Tools,The Weather Company,83,0.01,US,International Business Machines
Productivity and Tools,Sumo Logic,81,0.01,US,Sumo Logic
Productivity and Tools,Admarvel,72,0.01,US,Opera 
Productivity and Tools,Appnexus,71,0.01,US,Appnexus
Productivity and Tools,Mailchimp,71,0.01,US,Mailchimp
