leaf_parent,n,pctOfApps
Alphabet,848433,88.43
Facebook,408203,42.55
Twitter,298560,31.12
Microsoft,212944,22.19
Verizon,199851,20.83
Linkedin,197848,20.62
Amazon,171813,17.91
Oath,73390,7.65
Chartboost,52288,5.45
Applovin,37931,3.95
Cloudflare,36933,3.85
Unity Technologies,31814,3.32
Opera,29945,3.12
Adobe,28673,2.99
Yandex,21570,2.25
Inmobi,19277,2.01
Baidu,19224,2
Revmob,18118,1.89
Alibaba,17865,1.86
Appsflyer,16848,1.76
Akamai,15753,1.64
Vungle,15213,1.59
Apple,10267,1.07
Appnext,9913,1.03
IAC,9729,1.01
Disqus,9500,0.99
Ironsource,9031,0.94
Tencent,8755,0.91
Appodeal,8482,0.88
Oracle,8238,0.86
Pubnative,7908,0.82
New Relic,7726,0.81
Cheetahmobile,7638,0.8
Tapjoy,7621,0.79
Mapbox,7068,0.74
Rubicon Project,6856,0.71
Millennialmedia,6832,0.71
Mail.ru,6492,0.68
Urbanairship,5622,0.59
Foursquare,5572,0.58
Moat,5275,0.55
Sina,5211,0.54
Spearhead Integrated Marketing Communication ,4860,0.51
Mobfox,4754,0.5
Smart Adserver,4605,0.48
Adbuddiz,4158,0.43
Smart Ad Server,3959,0.41
Localytics,3944,0.41
comScore,3441,0.36
Automattic,3367,0.35
Pinterest,3272,0.34
RNTS Media,3069,0.32
Netease,3038,0.32
Sohu,2824,0.29
Drawbridge,2776,0.29
Branch,2192,0.23
Daum,1994,0.21
Nexage,1772,0.18
Integral Ad Science,1456,0.15
I-Mobile,1450,0.15
Quantcast,1174,0.12
China InterActive,1125,0.12
Truste,1094,0.11
Brightcove,1080,0.11
International Business Machines,1043,0.11
Tune,1028,0.11
Bugsnag,976,0.1
Presage,954,0.1
Wikimedia Foundation,936,0.1
Impact Radius,931,0.1
Opera ,875,0.09
Igaworks,811,0.08
Mcro,811,0.08
Openx,703,0.07
Appboy,583,0.06
Tnkfactory,580,0.06
Adstir,559,0.06
Pingstart,548,0.06
Gigya,545,0.06
Hyprmx,517,0.05
360,504,0.05
Double Verify,472,0.05
Samsung,470,0.05
Apsalar,466,0.05
Mocomplex,463,0.05
NetIQ,459,0.05
Aerserv,403,0.04
Longtail Ad Solutions,356,0.04
Appnexus,355,0.04
Superawesome,351,0.04
Youku Tudou,339,0.04
Sumo Logic,327,0.03
Sogou,309,0.03
Mozilla,293,0.03
Krux Digital,277,0.03
Science,277,0.03
Accuweather,256,0.03
Optimizely,255,0.03
Swrve,223,0.02
Jumptap,207,0.02
Mologiq,203,0.02
Infonline,183,0.02
Noosphere,172,0.02
Mailchimp,166,0.02
Outbrain,164,0.02
Tapsense,159,0.02
Jquery Foundation,156,0.02
Nativo,146,0.02
Adchina,132,0.01
Gemius,132,0.01
Nativex,130,0.01
RhythmOne,128,0.01
Taboola,123,0.01
Loopme,95,0.01
Teads,88,0.01
Viglink,81,0.01
Sharethrough,79,0.01
Jd.com,78,0.01
Adfox,76,0.01
Blinkx,76,0.01
Adition Technologies,73,0.01
Adform,72,0.01
Hubspot,70,0.01
Stackpath,69,0.01
Iresearch Consulting Group,56,0.01
Cxense Asa,53,0.01
"Manage
",52,0.01
Mobvista,45,0
Weather.com.cn,45,0
Iac,41,0
Criteo,40,0
Chartbeat,37,0
Webmd,37,0
Qualtrics,35,0
AFCV Holdings,34,0
Miaozhen Systems,34,0
Parsely,34,0
Adsame,33,0
Otherlevels,33,0
Mediaav,29,0
Medscape,29,0
Tradedoubler,29,0
United Internet Media,28,0
The E.w. Scripps Company,26,0
Nielsen Online,25,0
Cbs Corporation,24,0
Gannett,24,0
Deutsche Telekom,22,0
Mediametrie,21,0
Webklipper,20,0
Comcast,18,0
Statcounter,18,0
Etracker,17,0
Polar Mobile Group,17,0
Tealium,17,0
Ensighten,16,0
Medialytics,16,0
Neodata Group,16,0
Drugsite Trust,15,0
Gfk,15,0
Spot X Change,15,0
Dataxu,14,0
Improve Digital,13,0
Pc Group,13,0
Shanghai 2345 Network Technology,13,0
Hilton,12,0
Zedo,12,0
AOL,11,0
Rhythmone,10,0
Readspeaker,9,0
Vizury,9,0
Flipp,8,0
Media Math,7,0
Microad,7,0
Exoclick,6,0
Hearst,6,0
Sizmek,6,0
Tns,6,0
Whos.amung.us,6,0
Adriver,5,0
Adsnative,5,0
Awin1,5,0
Dunnhumby,5,0
Turn,5,0
Actua,4,0
Audience Science,4,0
Ebix,4,0
Eyeview,4,0
Leanplum,4,0
Mode Media,4,0
Progress Software,4,0
Rocketfuel,4,0
Share This,4,0
Specific Media,4,0
Taplytics,4,0
The Trade Desk,4,0
Tube Mogul,4,0
Videology Group,4,0
Appier Inc,3,0
Autohome,3,0
Baifendian,3,0
Chitika,3,0
Effective Measure,3,0
Encore Media Metrics,3,0
Experian,3,0
Farlex,3,0
Inform,3,0
Liftoff,3,0
Opt,3,0
Popads,3,0
Wish,3,0
Admaster,2,0
Beijing Emar Online Technology,2,0
Conversant Media,2,0
Equifax,2,0
Evidon,2,0
Iperceptions,2,0
Neustar,2,0
Richrelevance,2,0
The Property Software Group,2,0
Wisecode,2,0
Zoopla,2,0
33Across,1,0
Adelphic Inc,1,0
Admaxim,1,0
Adsocial,1,0
All Yes,1,0
Chango,1,0
China Interactive,1,0
Deep Forest Media,1,0
Health Grades,1,0
HiMedia Group,1,0
Ipinyou,1,0
Kantar,1,0
Lotame,1,0
Monotype Imaging,1,0
Netseer,1,0
Nugg.ad,1,0
Perion,1,0
Publicis Groupe,1,0
Pubmatic,1,0
Signal Digital,1,0
Skimlinks,1,0
Sovrn,1,0
Suning Corporation,1,0
Tapad,1,0
Tout,1,0
Triplelift,1,0
Trusted Shops,1,0
Webtrekk,1,0
WPP,1,0
Yieldoptimizer,1,0
