leaf_parent,pctOfApps.x,company,pctOfApps.y,country
Alphabet,0.9561120574058638,Google,0.9541550393215671,US
Alphabet,0.9561120574058638,Doubleclick,0.842967419273004,US
Alphabet,0.9561120574058638,Google Analytics,0.43536404160475484,US
Alphabet,0.9561120574058638,Google Tag Manager,0.38759830391766026,US
Alphabet,0.9561120574058638,Admob,0.13829594462363642,US
Alphabet,0.9561120574058638,Youtube,0.03272569129851774,US
Alphabet,0.9561120574058638,Blogger,0.01442394810277969,US
Facebook,0.46674881310477295,Facebook,0.46674881310477295,US
Facebook,0.46674881310477295,Liverail,0.023484217011560903,US
Twitter,0.27380132642336824,Twitter,0.2734751567426521,US
Twitter,0.27380132642336824,Mopub,0.011089769144348205,US
Microsoft,0.26985104917913966,Microsoft,0.26945239734715326,US
Microsoft,0.26985104917913966,Bing,5.436161345268727e-4,US
Verizon,0.2244047403326931,Yahoo,0.22433225818142283,US
Verizon,0.2244047403326931,Aol,3.624107563512485e-4,US
Linkedin,0.22201282934077485,Linkedin,0.22201282934077485,US
Amazon,0.20458087196027977,Amazon Web Services,0.18794621824375748,US
Amazon,0.20458087196027977,Amazon,0.020186279128764542,US
Amazon,0.20458087196027977,Amazon Marketing Services,0.006740840068133222,US
Applovin,0.04917913963686442,Applovin,0.04917913963686442,US
Localytics,0.04917913963686442,Localytics,0.04917913963686442,UK
Cloudflare,0.04675098756931106,Cloudflare,0.04675098756931106,US
Oath,0.045011415938825065,Flurry,0.03395788787011198,US
Oath,0.045011415938825065,Flickr,0.010799840539267205,US
Oath,0.045011415938825065,Tumblr,0.005798572101619976,US
Ironsource,0.04334432645960932,Ironsource,0.04334432645960932,US
Chartboost,0.0428731924763527,Chartboost,0.0428731924763527,
Unity Technologies,0.030841155365491247,Applifier,0.030841155365491247,FI
Opera,0.030768673214221,Adcolony,0.030768673214221,US
Adobe,0.02203457398615591,Adobe,0.02203457398615591,US
Adobe,0.02203457398615591,Typekit,3.624107563512485e-5,US
Alibaba,0.021925850759250534,Alibaba,0.021925850759250534,CN
Baidu,0.020657413112021166,Baidu,0.020657413112021166,CN
Revmob,0.01978762729677817,Revmob,0.01978762729677817,DE
Automattic,0.01674337694342768,Wordpress,0.01652593048961693,US
Automattic,0.01674337694342768,Gravatar,2.1744645381074912e-4,US
Appnext,0.011633385278875077,Appnext,0.011633385278875077,UK
Appsflyer,0.010509911934186206,Appsflyer,0.010509911934186206,US
Yandex,0.008770340303700214,Yandex,0.008770340303700214,RU
Akamai,0.0075381437321059685,Akamai,0.0075381437321059685,US
Tencent,0.006777081143768347,Tencent,0.006777081143768347,CN
Inmobi,0.006740840068133222,Inmobi,0.006740840068133222,SG
Sina,0.005472402420903852,Weibo,0.0049287862863769795,CN
Sina,0.005472402420903852,Sina,0.0017758127061211176,CN
Cheetahmobile,0.004312688000579858,Cheetahmobile,0.004312688000579858,CN
Pubnative,0.004131482622404233,Pubnative,0.004131482622404233,DE
IAC,0.004095241546769108,Vimeo,0.0037690718660529842,US
IAC,0.004095241546769108,Ask.com,3.624107563512485e-4,US
Appodeal,0.004022759395498858,Appodeal,0.004022759395498858,US
Rubicon Project,0.0036603486391476097,Rubicon Project,0.0036603486391476097,US
Apple,0.0035878664878773604,Apple,0.0035878664878773604,US
Mail.ru,0.003479143260971986,Mail.ru,0.003479143260971986,RU
