company,n,propApps
Doubleclick,558960,0.6077548104680481
Google-Analytics,375945,0.4087633859693187
Google-Ads,275011,0.29901828070278447
App-Measurement,171780,0.18677565718870995
Admob,135654,0.1474960123429809
Flurry,55419,0.06025684099278797
Fabric.io,53584,0.058261653363603644
Chartboost,50349,0.05474425173940131
Crashlytics,46481,0.05053859193030869
Applovin,36469,0.03965258727450846
Applifier,30754,0.03343869228770279
Adcolony,28909,0.0314326317014112
Adobe,27579,0.02998652840614409
Mopub,23160,0.02518176866044081
Yandex,20405,0.02218626897738751
Signal,19329,0.021016338792645098
Inmobi,18630,0.020256319090846818
Revmob,17184,0.01868408949313536
Appsflyer,16190,0.01760331755667257
Amazon-Ads,15977,0.017371723570287687
Vungle,14664,0.015944104302102937
Liverail,9598,0.010435864231559193
Appnext,9440,0.010264071509264304
Umeng,8979,0.009762828186619086
Ironsource,8733,0.009495353441780208
Millennialmedia,8640,0.009394234940682582
Tencent,8405,0.009138720448661703
Appodeal,8101,0.008808182552600649
Pubnative,7552,0.008211257207411442
Tapjoy,7399,0.008044900963670188
Newrelic,7396,0.008041639076538007
Cheetahmobile,7272,0.00790681440840784
Rubicon,6597,0.007172889803667013
Mixpanel,6450,0.007013057334190122
Amplitude,6254,0.006799947374887601
Mail.Ru,6227,0.006770590390697968
Bitstadium,5855,0.006366116386307468
Foursquare,5397,0.0058681349507944324
Urbanairship,5337,0.0058028972081508035
Moatads,5018,0.005456049876428843
Smaato,4691,0.005100504179021064
Mobfox,4579,0.004978727059419623
Smart Adserver,4399,0.004783013831488736
Adbuddiz,4003,0.004352444730040784
Adjust,3813,0.004145858545002626
Smartadserver,3801,0.0041328109964739
Scorecardresearch,3367,0.0036609246580183168
Sina,3205,0.003484782752880518
Fyber,2958,0.003216220712330912
Drawbridge Inc,2536,0.0027573819224040543
Yahoo-Usage,2522,0.0027421597824538744
Branch,2124,0.002309416089584468
Apteligent,1921,0.0020886950603068565
Nexage,1728,0.0018788469881365164
I-Mobile,1415,0.0015385234306789183
Integral Ad Science,1357,0.0014754602794567436
AOL,1208,0.0013134532185583982
Localytics,1149,0.0012493027716254962
Brightcove,1035,0.001125351060602601
Tune,998,0.0010851211193056965
Bugsnag,931,0.0010122723066869773
Presage,908,9.872645053402528e-4
Admarvel,838,9.111538055893523e-4
Forensiq,812,8.828841171104465e-4
Igaworks,793,8.622254986066306e-4
Mcro,787,8.557017243422676e-4
Voicefive,661,7.187024647906466e-4
Appboy,570,6.19758555114476e-4
Tnkfactory,562,6.110601894286587e-4
Adstir,542,5.893142752141157e-4
Pingstart,542,5.893142752141157e-4
Hyprmx,510,5.545208124708469e-4
Doubleverify,468,5.088543926203066e-4
Mocomplex,456,4.958068440915807e-4
Aerserv,390,4.2404532718358877e-4
Apsalar,358,3.8925186444031996e-4
Appnexus,346,3.762043159115942e-4
Superawesome,339,3.685932459365041e-4
Longtail Ad Solutions,336,3.6533135880432267e-4
Fout,327,3.555456974077783e-4
Sumo Logic,317,3.446727403005068e-4
Playhaven,262,2.848714762105135e-4
Optimizely,247,2.6856204054960623e-4
Alibaba,238,2.5877637915306187e-4
Swrve,218,2.3703046493851886e-4
Jumptap,201,2.185464378561573e-4
Mologiq,196,2.1310995930252154e-4
Flksu,167,1.8157838369143418e-4
Mailchimp,161,1.7505460942707126e-4
Outbrain,159,1.7288001800561697e-4
Tapsense,153,1.6635624374125406e-4
Manage,144,1.565705823447097e-4
Webtrends,126,1.36999259551621e-4
Nativex,125,1.3591196384089385e-4
Taboola,123,1.3373737241943954e-4
Radiumone,122,1.3265007670871238e-4
Postrelease,115,1.2503900673362233e-4
Loopme,90,9.785661396544357e-5
Viglink,78,8.480906543671777e-5
Sharethrough,75,8.154717830453631e-5
Adition,73,7.937258688308201e-5
Adfox,72,7.828529117235485e-5
Adform,69,7.50234040401734e-5
Bluekai,68,7.393610832944625e-5
Mediametrie,60,6.523774264362905e-5
Cxense Asa,53,5.762667266853899e-5
Mobvista,45,4.8928306982721784e-5
Criteo,39,4.240453271835888e-5
Chartbeat,37,4.0229941296904575e-5
Parsely,34,3.6968054164723124e-5
Qualtrics,34,3.6968054164723124e-5
Otherlevels,29,3.153157561108737e-5
The Nielsen Company,25,2.7182392768178768e-5
Apple-Ads,22,2.3920505635997317e-5
Hilton,22,2.3920505635997317e-5
Turn,22,2.3920505635997317e-5
Wish,21,2.2833209925270167e-5
Webklipper,20,2.1745914214543016e-5
Facebook-Ads,18,1.9571322793088712e-5
Statcounter,18,1.9571322793088712e-5
Polar Mobile Group,17,1.8484027082361562e-5
Ensighten,16,1.7396731371634412e-5
Gfk,15,1.630943566090726e-5
Medialytics,15,1.630943566090726e-5
Dataxu,13,1.413484423945296e-5
Improve Digital Bv,13,1.413484423945296e-5
Spotxchange,13,1.413484423945296e-5
Zedo,12,1.3047548528725809e-5
Intowow,11,1.1960252817998659e-5
Tealium,11,1.1960252817998659e-5
Vizury,9,9.785661396544356e-6
Rhythmone,8,8.698365685817206e-6
Microad,7,7.611069975090056e-6
Quantcast,7,7.611069975090056e-6
Amung,6,6.5237742643629044e-06
Exoclick,6,6.5237742643629044e-06
Tns,6,6.5237742643629044e-06
Adriver,5,5.436478553635754e-6
Adsnative,5,5.436478553635754e-6
Livefyre,5,5.436478553635754e-6
Sizmek,5,5.436478553635754e-6
Sociomantic,5,5.436478553635754e-6
Adsrvr,4,4.349182842908603e-6
Audiencescience,4,4.349182842908603e-6
Awin1,4,4.349182842908603e-6
Eyeview,4,4.349182842908603e-6
Impact-Ad,4,4.349182842908603e-6
Leanplum,4,4.349182842908603e-6
Myspace,4,4.349182842908603e-6
Sharethis,4,4.349182842908603e-6
Taplytics,4,4.349182842908603e-6
Tubemogul,4,4.349182842908603e-6
Videology,4,4.349182842908603e-6
Appier Inc,3,3.2618871321814522e-06
Conversant,3,3.2618871321814522e-06
Demdex,3,3.2618871321814522e-06
Effective Measure,3,3.2618871321814522e-06
Flashtalking,3,3.2618871321814522e-06
Opt,3,3.2618871321814522e-06
Rocketfuel,3,3.2618871321814522e-06
Apptimize,2,2.1745914214543015e-6
Chango,2,2.1745914214543015e-6
Exelate,2,2.1745914214543015e-6
Histats,2,2.1745914214543015e-6
Liftoff,2,2.1745914214543015e-6
Primelocation,2,2.1745914214543015e-6
Richrelevance,2,2.1745914214543015e-6
Zoopla,2,2.1745914214543015e-6
33Across,1,1.0872957107271507e-6
Adap.Tv,1,1.0872957107271507e-6
Adelphic Inc,1,1.0872957107271507e-6
Admaxim,1,1.0872957107271507e-6
Conversant Llc,1,1.0872957107271507e-6
Lotame,1,1.0872957107271507e-6
Netseer,1,1.0872957107271507e-6
Nugg.Ad,1,1.0872957107271507e-6
Openx,1,1.0872957107271507e-6
Pubmatic,1,1.0872957107271507e-6
Skimlinks,1,1.0872957107271507e-6
Sovrn,1,1.0872957107271507e-6
Tapad,1,1.0872957107271507e-6
Triplelift,1,1.0872957107271507e-6
Yieldoptimizer,1,1.0872957107271507e-6
