hosts,refCount,company,country,parent_id
plus.google.com,662186,Google,US,Alphabet
www.googleapis.com,636070,Google,US,Alphabet
www.google.com,615267,Google,US,Alphabet
schemas.android.com,611950,Google,US,Alphabet
googleads.g.doubleclick.net,581795,DoubleClick,US,Google
play.google.com,422068,Google,US,Alphabet
csi.gstatic.com,421463,Google,US,Alphabet
goo.gl,411176,Google,US,Alphabet
ssl.google-analytics.com,373419,Google Analytics,US,Google
www.google-analytics.com,373141,Google Analytics,US,Google
www.googletagmanager.com,324898,Google Tag Manager,US,Google
www.facebook.com,318180,Facebook,US,NA
pagead2.googlesyndication.com,279441,Google,US,Alphabet
twitter.com,265043,Twitter,US,NA
www.example.com,234830,unknown,NA,NA
accounts.google.com,214333,Google,US,Alphabet
www.paypal.com,200195,unknown,NA,NA
www.linkedin.com,193198,LinkedIn,US,NA
login.yahoo.com,189660,Yahoo,US,Oath
login.live.com,189001,Microsoft,US,NA
app-measurement.com,179655,unknown,NA,NA
schema.org,167569,unknown,NA,NA
graph.facebook.com,159704,Facebook,US,NA
developers.facebook.com,140443,Facebook,US,NA
facebook.com,136708,Facebook,US,NA
.facebook.com,135955,Facebook,US,NA
media.admob.com,135633,Admob,US,Google
www.w3.org,133206,unknown,NA,NA
market.android.com,119132,Google,US,Alphabet
m.facebook.com,114266,Facebook,US,NA
developer.android.com,90408,Google,US,Alphabet
support.google.com,77633,Google,US,Alphabet
xmlpull.org,75151,unknown,NA,NA
maps.google.com,73731,Google,US,Alphabet
www.youtube.com,73330,YouTube,US,Google
sb-ssl.google.com,70438,Google,US,Alphabet
api.twitter.com,66469,Twitter,US,NA
www.amazon.com,64361,Amazon,US,NA
graph.%s.facebook.com,64218,Facebook,US,NA
www.%s.facebook.com,63392,Facebook,US,NA
maps.googleapis.com,60910,Google,US,Alphabet
ssl.gstatic.com,60394,Google,US,Alphabet
api.facebook.com,58169,Facebook,US,NA
data.flurry.com,57665,Flurry,US,Yahoo
fabric.io,55807,unknown,NA,NA
docs.google.com,51476,Google,US,Alphabet
live.chartboost.com,50597,Chartboost,,
code.google.com,50243,Google,US,Alphabet
settings.crashlytics.com,48870,unknown,NA,NA
d1byvlfiet2h9q.cloudfront.net,48453,Amazon Web Services,US,Amazon
e.crashlytics.com,48396,unknown,NA,NA
www.startappexchange.com,47493,unknown,NA,NA
www.dummy.com,44285,unknown,NA,NA
init.startappexchange.com,37194,unknown,NA,NA
schemas.applovin.com,37174,Applovin,US,
vid.applovin.com,37115,Applovin,US,
d.applovin.com,37055,Applovin,US,
img.applovin.com,36951,Applovin,US,
pdn.applovin.com,36951,Applovin,US,
cdnjs.cloudflare.com,36930,Cloudflare,US,NA
assets.applovin.com,36819,Applovin,US,
developers.google.com,36278,Google,US,Alphabet
proton.flurry.com,36151,Flurry,US,Yahoo
support.twitter.com,36076,Twitter,US,NA
a.applovin.com,35553,Applovin,US,
xml.apache.org,35261,unknown,NA,NA
s3.amazonaws.com,35235,Amazon Web Services,US,Amazon
www.gstatic.com,35173,Google,US,Alphabet
www.slf4j.org,32851,unknown,NA,NA
purl.org,32279,unknown,NA,NA
rt.applovin.com,31724,Applovin,US,
impact.staging.applifier.com,31458,Applifier,FI,Unity Technologies
mobilecrashreporting.googleapis.com,30812,Google,US,Alphabet
impact.applifier.com,30727,Applifier,FI,Unity Technologies
loopj.com,30469,unknown,NA,NA
google.com,29401,Google,US,Alphabet
lh6.ggpht.com,27835,Google,US,Alphabet
opensource.org,27711,unknown,NA,NA
e.admob.com,27442,Admob,US,Google
daneden.me,27251,unknown,NA,NA
github.com,27136,unknown,NA,NA
stream.twitter.com,25207,Twitter,US,NA
twitter4j.org,25192,unknown,NA,NA
www.google.co.jp,24948,Google,US,Alphabet
dev.twitter.com,24484,Twitter,US,NA
userstream.twitter.com,24450,Twitter,US,NA
schemas.xmlsoap.org,24368,unknown,NA,NA
www.firebase.com,23731,unknown,NA,NA
sitestream.twitter.com,23453,Twitter,US,NA
schemas.microsoft.com,23385,Microsoft,US,NA
www.samsungapps.com,22866,unknown,NA,NA
www.idpf.org,22023,unknown,NA,NA
www.daisy.org,21628,unknown,NA,NA
wss.pollfish.com,20888,unknown,NA,NA
analytics.mopub.com,20683,Mopub,US,Twitter
xml.org,20675,unknown,NA,NA
onesignal.com,20411,unknown,NA,NA
api.upcdatabase.org,18977,unknown,NA,NA
i.w.inmobi.com,18538,Inmobi,SG,
console.firebase.google.com,18461,Google,US,Alphabet
