hosts,numApps,pctOfApps,company,country,root_parent,leaf_parent
plus.google.com,662186,69.02,Google,US,Alphabet,Alphabet
www.googleapis.com,636070,66.3,Google,US,Alphabet,Alphabet
www.google.com,615267,64.13,Google,US,Alphabet,Alphabet
schemas.android.com,611950,63.78,Google,US,Alphabet,Alphabet
googleads.g.doubleclick.net,581795,60.64,Doubleclick,US,Alphabet,Alphabet
play.google.com,422068,43.99,Google,US,Alphabet,Alphabet
csi.gstatic.com,421463,43.93,Google,US,Alphabet,Alphabet
goo.gl,411176,42.86,Google,US,Alphabet,Alphabet
ssl.google-analytics.com,373419,38.92,Google Analytics,US,Alphabet,Alphabet
www.google-analytics.com,373141,38.89,Google Analytics,US,Alphabet,Alphabet
www.googletagmanager.com,324898,33.86,Google Tag Manager,US,Alphabet,Alphabet
www.facebook.com,318180,33.16,Facebook,US,NA,Facebook
pagead2.googlesyndication.com,279441,29.13,Google,US,Alphabet,Alphabet
twitter.com,265043,27.63,Twitter,US,NA,Twitter
accounts.google.com,214333,22.34,Google,US,Alphabet,Alphabet
www.linkedin.com,193198,20.14,Linkedin,US,NA,Linkedin
login.yahoo.com,189660,19.77,Yahoo,US,Verizon,Verizon
login.live.com,189001,19.7,Microsoft,US,NA,Microsoft
graph.facebook.com,159704,16.65,Facebook,US,NA,Facebook
developers.facebook.com,140443,14.64,Facebook,US,NA,Facebook
facebook.com,136708,14.25,Facebook,US,NA,Facebook
.facebook.com,135955,14.17,Facebook,US,NA,Facebook
media.admob.com,135633,14.14,Admob,US,Alphabet,Alphabet
market.android.com,119132,12.42,Google,US,Alphabet,Alphabet
m.facebook.com,114266,11.91,Facebook,US,NA,Facebook
developer.android.com,90408,9.42,Google,US,Alphabet,Alphabet
support.google.com,77633,8.09,Google,US,Alphabet,Alphabet
maps.google.com,73731,7.68,Google,US,Alphabet,Alphabet
www.youtube.com,73330,7.64,Youtube,US,Alphabet,Alphabet
sb-ssl.google.com,70438,7.34,Google,US,Alphabet,Alphabet
api.twitter.com,66469,6.93,Twitter,US,NA,Twitter
www.amazon.com,64361,6.71,Amazon,US,NA,Amazon
graph.%s.facebook.com,64218,6.69,Facebook,US,NA,Facebook
www.%s.facebook.com,63392,6.61,Facebook,US,NA,Facebook
maps.googleapis.com,60910,6.35,Google,US,Alphabet,Alphabet
ssl.gstatic.com,60394,6.29,Google,US,Alphabet,Alphabet
api.facebook.com,58169,6.06,Facebook,US,NA,Facebook
data.flurry.com,57665,6.01,Flurry,US,Oath,Oath
docs.google.com,51476,5.37,Google,US,Alphabet,Alphabet
live.chartboost.com,50597,5.27,Chartboost,,,Chartboost
code.google.com,50243,5.24,Google,US,Alphabet,Alphabet
d1byvlfiet2h9q.cloudfront.net,48453,5.05,Amazon Web Services,US,Amazon,Amazon
schemas.applovin.com,37174,3.87,Applovin,US,,Applovin
vid.applovin.com,37115,3.87,Applovin,US,,Applovin
d.applovin.com,37055,3.86,Applovin,US,,Applovin
img.applovin.com,36951,3.85,Applovin,US,,Applovin
